,Pattern 19
"Middle Temporal Gyrus, anterior division",-0.10086095267142664
Superior Frontal Gyrus,0.019087484938607138
Frontal Pole,-0.2097993184995304
Planum Temporale,-0.08161891981542334
"Inferior Temporal Gyrus, temporooccipital part",0.15177480497984888
Central Opercular Cortex,0.04731896308635189
Precuneous Cortex,0.0704036222091884
Occipital Pole,-0.05271655422719401
Lingual Gyrus,0.05117555211005291
"Inferior Frontal Gyrus, pars opercularis",-0.00011406453190494771
Putamen,-0.10839870110742576
"Inferior Frontal Gyrus, pars triangularis",-0.06188490403473219
Middle Frontal Gyrus,0.20103006589870154
Thalamus,0.006646861032829438
Frontal Operculum Cortex,0.04294541535651922
Precentral Gyrus,-0.05488469428635929
Parietal Operculum Cortex,-0.09516711226475466
Caudate,-0.17782072273907085
Pallidum,-0.14112215162262498
Occipital Fusiform Gyrus,-0.0013340982900393874
Superior Parietal Lobule,-0.09357555837140538
Angular Gyrus,0.009760136371416513
"Lateral Occipital Cortex, inferior division",-0.17323581912411362
"Inferior Temporal Gyrus, anterior division",-0.05327795921506953
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.06641647414226162
Cuneal Cortex,0.05807463964012158
Temporal Pole,0.11337751691582415
Subcallosal Cortex,0.1915737302078907
Planum Polare,-0.06545890582256465
Paracingulate Gyrus,0.05100630904061991
Insular Cortex,0.1677900798778617
Temporal Occipital Fusiform Cortex,0.21173448315575968
Hippocampus,0.10111512492782992
"Middle Temporal Gyrus, temporooccipital part",0.0069765232528122825
"Temporal Fusiform Cortex, anterior division",0.126561198824285
"Lateral Occipital Cortex, superior division",0.031809994750532256
Supracalcarine Cortex,-0.00038125215697217
Heschl's Gyrus (includes H1 and H2),0.016247342679859826
"Supramarginal Gyrus, posterior division",0.01724603076583576
Postcentral Gyrus,0.0434410933366249
Intracalcarine Cortex,-0.1816916045638364
Frontal Orbital Cortex,0.1902555071827634
"Parahippocampal Gyrus, posterior division",-0.01017378238995209
Amygdala,0.0876203715057686
"Inferior Temporal Gyrus, posterior division",-0.01621237119501844
Frontal Medial Cortex,-0.0874319677130606
"Cingulate Gyrus, posterior division",-0.021441282551132843
"Superior Temporal Gyrus, posterior division",-0.0034884543297211724
"Middle Temporal Gyrus, posterior division",0.0930055075784415
Ventral Striatum,0.017542849590554445
"Supramarginal Gyrus, anterior division",0.05113038191892241
"Cingulate Gyrus, anterior division",0.05956076980744492
"Superior Temporal Gyrus, anterior division",-0.11810886798352285
"Parahippocampal Gyrus, anterior division",0.21667076443787486
"Temporal Fusiform Cortex, posterior division",0.041686764595326116
FA anterior corona radiata,0.12656957711901504
FA cingulum hippocampus,-0.012574379957357516
FA fornix cres+stria terminalis,-0.0622631997064487
FA corticospinal tract,0.1756960620121215
FA inferior cerebellar peduncle,0.05909833986414177
FA posterior corona radiata,-0.14950277166282927
FA tapetum,-0.2485718203741615
FA superior cerebellar peduncle,0.10665668533115703
FA uncinate fasciculus,0.038287558734052166
FA cerebral peduncle,0.14165994197485712
FA posterior thalamic radiation,-0.3010768939946544
FA anterior limb of internal capsule,0.13045754732257794
FA superior longitudinal fasciculus,-0.07028715042113012
FA external capsule,0.08503157978854599
FA retrolenticular part of internal capsule,-0.020214845586534358
FA sagittal stratum,-0.14815930721419682
FA cingulum cingulate gyrus,0.07682569231059952
FA superior fronto-occipital fasciculus,0.057571667602819135
FA posterior limb of internal capsule,0.0730055137033946
FA medial lemniscus,0.18067361027483886
FA superior corona radiata,0.11562772605839758
V Cerebellum,-0.03150698787462665
Crus I Cerebellum,0.028579792813807788
VIIIa Cerebellum,-0.06512069936448739
VIIIb Cerebellum,0.018562442877736653
I-IV Cerebellum,-0.07331001124155814
IX Cerebellum,0.08742445864309632
Crus II Cerebellum,0.0049908667020903815
VIIb Cerebellum,-0.08250628513600504
VI Cerebellum,0.09704757104594508
