,Pattern 13
"Middle Temporal Gyrus, anterior division",0.025545847276928182
Superior Frontal Gyrus,-0.18067309468757292
Frontal Pole,0.1127239160642574
Planum Temporale,-0.16150694864212548
"Inferior Temporal Gyrus, temporooccipital part",0.06669533946292218
Central Opercular Cortex,0.02833547334046004
Precuneous Cortex,-0.12412491330494065
Occipital Pole,-0.0032739097045206625
Lingual Gyrus,0.019420296112085327
"Inferior Frontal Gyrus, pars opercularis",0.09670371106776517
Putamen,0.06715712561966501
"Inferior Frontal Gyrus, pars triangularis",0.16068195331813226
Middle Frontal Gyrus,-0.04053986994005964
Thalamus,0.05820002864658797
Frontal Operculum Cortex,0.1303712926256087
Precentral Gyrus,-0.01589003878165362
Parietal Operculum Cortex,-0.1996933581856996
Caudate,0.03488061277373925
Pallidum,0.021507658760489132
Occipital Fusiform Gyrus,0.03099908230072593
Superior Parietal Lobule,-0.10741855846647028
Angular Gyrus,-0.2420808345674122
"Lateral Occipital Cortex, inferior division",0.07667974176167149
"Inferior Temporal Gyrus, anterior division",-0.035483218616969896
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.14843279043172916
Cuneal Cortex,-0.003501766122447105
Temporal Pole,-0.1072393127337876
Subcallosal Cortex,0.1364348568201946
Planum Polare,0.05743823404019996
Paracingulate Gyrus,-0.07859726508479857
Insular Cortex,-0.009304833535076641
Temporal Occipital Fusiform Cortex,-0.08097845528316633
Hippocampus,-0.09662309739048552
"Middle Temporal Gyrus, temporooccipital part",0.028229256931907486
"Temporal Fusiform Cortex, anterior division",-0.15467838260154848
"Lateral Occipital Cortex, superior division",-0.1951909439776319
Supracalcarine Cortex,-0.0311191972486482
Heschl's Gyrus (includes H1 and H2),-0.05576483735623049
"Supramarginal Gyrus, posterior division",-0.00814155755627412
Postcentral Gyrus,0.3595671419165297
Intracalcarine Cortex,-0.0031781514998165607
Frontal Orbital Cortex,-0.10277374944045377
"Parahippocampal Gyrus, posterior division",-0.08754009648205062
Amygdala,-0.013765097527293524
"Inferior Temporal Gyrus, posterior division",0.0908886828021132
Frontal Medial Cortex,0.0846719170194926
"Cingulate Gyrus, posterior division",-0.02463555978800772
"Superior Temporal Gyrus, posterior division",0.06579689293323733
"Middle Temporal Gyrus, posterior division",0.29329536202924017
Ventral Striatum,0.1583090289623505
"Supramarginal Gyrus, anterior division",0.2627564820108413
"Cingulate Gyrus, anterior division",0.1253419935673303
"Superior Temporal Gyrus, anterior division",-0.008028789525499666
"Parahippocampal Gyrus, anterior division",-0.12696558350421813
"Temporal Fusiform Cortex, posterior division",-0.05941854942582282
FA anterior corona radiata,0.01418218645813124
FA cingulum hippocampus,-0.005262723275612679
FA fornix cres+stria terminalis,0.006950426747959135
FA corticospinal tract,0.05362561744104415
FA inferior cerebellar peduncle,0.08033387505856437
FA posterior corona radiata,0.012893479993782759
FA tapetum,-0.01049468833218687
FA superior cerebellar peduncle,0.06136657259623975
FA uncinate fasciculus,0.01455098274585344
FA cerebral peduncle,0.07919692021958755
FA posterior thalamic radiation,-0.008200195329947575
FA anterior limb of internal capsule,0.09569420035419088
FA superior longitudinal fasciculus,0.09441645121133266
FA external capsule,0.11804417278131228
FA retrolenticular part of internal capsule,0.08880777729759476
FA sagittal stratum,0.00916487195348193
FA cingulum cingulate gyrus,0.015385400292995097
FA superior fronto-occipital fasciculus,0.07723042957944608
FA posterior limb of internal capsule,0.1280154502090382
FA medial lemniscus,0.06436994619823441
FA superior corona radiata,0.0351584881279248
V Cerebellum,0.039596035650377566
Crus I Cerebellum,0.07894597807710002
VIIIa Cerebellum,0.17824253572558024
VIIIb Cerebellum,0.16131908197550635
I-IV Cerebellum,0.04974064059175157
IX Cerebellum,0.156556944521912
Crus II Cerebellum,0.07196540830214403
VIIb Cerebellum,0.10481792338523466
VI Cerebellum,-0.0023397039309422107
