,Pattern 28
"Middle Temporal Gyrus, anterior division",0.13177530706961255
Superior Frontal Gyrus,0.19254902078780486
Frontal Pole,-0.108099196326374
Planum Temporale,0.012566660426869644
"Inferior Temporal Gyrus, temporooccipital part",-0.018114235366916902
Central Opercular Cortex,0.0210648965470556
Precuneous Cortex,-0.0037354751144604986
Occipital Pole,-0.02482480101868113
Lingual Gyrus,0.1413596712350644
"Inferior Frontal Gyrus, pars opercularis",-0.03979361455955446
Putamen,0.0723164529636991
"Inferior Frontal Gyrus, pars triangularis",0.010192891596793707
Middle Frontal Gyrus,-0.07497452534383453
Thalamus,-0.13812675791081325
Frontal Operculum Cortex,0.08319606171804174
Precentral Gyrus,-0.15850057238551885
Parietal Operculum Cortex,-0.07820095434586574
Caudate,-0.21126292277112707
Pallidum,-0.06602170771401097
Occipital Fusiform Gyrus,-0.04271697502555618
Superior Parietal Lobule,0.1756799969592876
Angular Gyrus,-0.0679117510968202
"Lateral Occipital Cortex, inferior division",-0.030872225620518667
"Inferior Temporal Gyrus, anterior division",-0.019315736589233908
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.1366532442611531
Cuneal Cortex,-0.14687697552570642
Temporal Pole,0.1846197050223937
Subcallosal Cortex,0.16395944793485398
Planum Polare,-0.017213326029149337
Paracingulate Gyrus,-0.054867697087108265
Insular Cortex,0.1788635294929892
Temporal Occipital Fusiform Cortex,-0.06326173671774475
Hippocampus,-0.09031114344778418
"Middle Temporal Gyrus, temporooccipital part",-0.06689102696232042
"Temporal Fusiform Cortex, anterior division",-0.06561229316110506
"Lateral Occipital Cortex, superior division",-0.07082434606578966
Supracalcarine Cortex,-0.1135076797399704
Heschl's Gyrus (includes H1 and H2),0.07043051042056088
"Supramarginal Gyrus, posterior division",-0.056299576318489586
Postcentral Gyrus,0.05026607702742511
Intracalcarine Cortex,0.057489057356485726
Frontal Orbital Cortex,0.3250857767091916
"Parahippocampal Gyrus, posterior division",-0.1945372357765088
Amygdala,0.08249646321412689
"Inferior Temporal Gyrus, posterior division",0.0293880994261468
Frontal Medial Cortex,-0.20533247401932234
"Cingulate Gyrus, posterior division",0.04458696481922513
"Superior Temporal Gyrus, posterior division",0.0052397971996648455
"Middle Temporal Gyrus, posterior division",0.01923404852951629
Ventral Striatum,0.021262441015881157
"Supramarginal Gyrus, anterior division",0.0042706033693234715
"Cingulate Gyrus, anterior division",0.18659566588524615
"Superior Temporal Gyrus, anterior division",0.050962961859760125
"Parahippocampal Gyrus, anterior division",-0.046459266034160084
"Temporal Fusiform Cortex, posterior division",-0.10784043426474957
FA anterior corona radiata,-0.19176252122041093
FA cingulum hippocampus,-0.017855231661225136
FA fornix cres+stria terminalis,-0.005634721998314171
FA corticospinal tract,-0.04293645443595634
FA inferior cerebellar peduncle,0.01919041041373422
FA posterior corona radiata,0.0991869537032625
FA tapetum,0.2422892640866363
FA superior cerebellar peduncle,0.09695075083910792
FA uncinate fasciculus,0.01360942997610995
FA cerebral peduncle,-0.19965911032264005
FA posterior thalamic radiation,0.16796912237332795
FA anterior limb of internal capsule,0.09913872097611083
FA superior longitudinal fasciculus,0.10773954290837988
FA external capsule,-0.014666757794205247
FA retrolenticular part of internal capsule,-0.06304296173992177
FA sagittal stratum,0.06255363955899394
FA cingulum cingulate gyrus,0.07305414340352014
FA superior fronto-occipital fasciculus,0.15568930520355273
FA posterior limb of internal capsule,-0.09617628947485138
FA medial lemniscus,0.0221365889575572
FA superior corona radiata,0.05775719884351805
V Cerebellum,-0.091129996381444
Crus I Cerebellum,-0.12557698945812412
VIIIa Cerebellum,0.06876140964553552
VIIIb Cerebellum,-0.03487074917408792
I-IV Cerebellum,-0.1022688590523046
IX Cerebellum,-0.11025663471044096
Crus II Cerebellum,-0.011482977057750551
VIIb Cerebellum,0.08072404424206242
VI Cerebellum,0.03461939245918645
