,Pattern 52
"Middle Temporal Gyrus, anterior division",-0.2780868342134678
Superior Frontal Gyrus,-0.10506741265921164
Frontal Pole,0.025194014152389508
Planum Temporale,0.002374070549910498
"Inferior Temporal Gyrus, temporooccipital part",0.06231180573365563
Central Opercular Cortex,-0.005898014621242956
Precuneous Cortex,0.1917459662551273
Occipital Pole,0.2586392408139719
Lingual Gyrus,0.03554508024034324
"Inferior Frontal Gyrus, pars opercularis",0.19770676637438334
Putamen,-0.2274647043542293
"Inferior Frontal Gyrus, pars triangularis",0.02349183233711341
Middle Frontal Gyrus,-0.0011386691207377342
Thalamus,0.15213889729869728
Frontal Operculum Cortex,0.04908895495430243
Precentral Gyrus,-0.05292615867725384
Parietal Operculum Cortex,0.0742626026153615
Caudate,-0.034229138446104486
Pallidum,0.10415181361863438
Occipital Fusiform Gyrus,0.0476828841557886
Superior Parietal Lobule,-0.05942070098283048
Angular Gyrus,0.09979282850952813
"Lateral Occipital Cortex, inferior division",-0.08701957130843069
"Inferior Temporal Gyrus, anterior division",0.04820304632752204
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.010047107644458429
Cuneal Cortex,0.03589007026247488
Temporal Pole,0.029330863180230562
Subcallosal Cortex,0.08648789766414831
Planum Polare,0.14447536454053855
Paracingulate Gyrus,0.058465524159942474
Insular Cortex,-0.11640384512321095
Temporal Occipital Fusiform Cortex,-0.02200737964067753
Hippocampus,0.03330676073227281
"Middle Temporal Gyrus, temporooccipital part",-0.058396752665184966
"Temporal Fusiform Cortex, anterior division",0.09398343480081953
"Lateral Occipital Cortex, superior division",-0.07531915926726215
Supracalcarine Cortex,-0.09968782406216284
Heschl's Gyrus (includes H1 and H2),-0.13366783444365102
"Supramarginal Gyrus, posterior division",-0.0984464826297777
Postcentral Gyrus,0.16161248174707216
Intracalcarine Cortex,0.1732728113637086
Frontal Orbital Cortex,0.2828577091810584
"Parahippocampal Gyrus, posterior division",-0.07011157595101111
Amygdala,0.3334522066769087
"Inferior Temporal Gyrus, posterior division",-0.01794876368413505
Frontal Medial Cortex,0.13244052687406374
"Cingulate Gyrus, posterior division",-0.03649737585005311
"Superior Temporal Gyrus, posterior division",0.037163768413339016
"Middle Temporal Gyrus, posterior division",-0.025657722408495783
Ventral Striatum,-0.10759026285262023
"Supramarginal Gyrus, anterior division",-0.12563888701009926
"Cingulate Gyrus, anterior division",-0.07944807733018393
"Superior Temporal Gyrus, anterior division",0.09803270521201274
"Parahippocampal Gyrus, anterior division",-0.13203931965760912
"Temporal Fusiform Cortex, posterior division",0.026932110827813018
FA anterior corona radiata,-0.11247364769452314
FA cingulum hippocampus,-0.13448619020052208
FA fornix cres+stria terminalis,-0.06550979435092197
FA corticospinal tract,-0.06654200821149177
FA inferior cerebellar peduncle,0.10945919403992027
FA posterior corona radiata,0.04475892875646277
FA tapetum,0.13767926428270372
FA superior cerebellar peduncle,-0.0015527356586512756
FA uncinate fasciculus,-0.032634530078427613
FA cerebral peduncle,0.090895885757399
FA posterior thalamic radiation,-0.012620262197548374
FA anterior limb of internal capsule,-0.14276782794877615
FA superior longitudinal fasciculus,-0.0833105118436929
FA external capsule,0.15270555540411376
FA retrolenticular part of internal capsule,0.14164891144297476
FA sagittal stratum,-0.13037621598329974
FA cingulum cingulate gyrus,-0.07013249488387319
FA superior fronto-occipital fasciculus,-0.025060499485419812
FA posterior limb of internal capsule,0.0213784592498616
FA medial lemniscus,-0.009549578658491709
FA superior corona radiata,-0.08950658215402757
V Cerebellum,-0.016836882248404742
Crus I Cerebellum,-0.06056389701443932
VIIIa Cerebellum,0.05522917895681431
VIIIb Cerebellum,-0.011162612571813628
I-IV Cerebellum,0.00720670485118574
IX Cerebellum,-0.06925442233075395
Crus II Cerebellum,-0.04250673609774257
VIIb Cerebellum,0.043856168251146986
VI Cerebellum,-0.01741954524609561
