i,phesid,p_Asymmetry Pattern 52,-logp_Asymmetry Pattern 52,Category
0,1677,0.19271017336700802,0.7150953578897973,early life factors
1,1777,0.3177823915467632,0.4978701708981183,early life factors
2,1787,0.2094223939541411,0.6789768801991745,early life factors
3,1767,0.13831325293236674,0.8591362045643137,early life factors
4,1697,0.9711829113746858,0.012698967909025643,early life factors
5,1687,0.8233812743936729,0.08439901409341811,early life factors
6,20022,0.8148745015893712,0.08890927158397258,early life factors
7,130,0.5459002089840518,0.2628867394353776,early life factors
8,129,0.8663876479796542,0.06228774804076512,early life factors
9,10722#4,0.4572696699358009,0.3398276038158061,lifestyle - general
10,10722#5,0.5491204375039784,0.2603323921492548,lifestyle - general
11,10722#2,0.22389071651160017,0.6499639137964547,lifestyle - general
12,10722#100,0.8837049955029255,0.05369268997289058,lifestyle - general
13,10722#3,0.3280550285355406,0.4840533008467831,lifestyle - general
14,10721#1,0.620440956745433,0.20729954112691223,lifestyle - general
15,10860#1,0.5074126896003666,0.29463867595050186,lifestyle - general
16,10721#6,0.8781455073873816,0.05643351618999109,lifestyle - general
17,10721#2,0.5454832593875981,0.26321857315474195,lifestyle - general
18,10721#3,0.37220374636486053,0.42921925985275905,lifestyle - general
19,10721#100,0.8829686555901493,0.05405471312215033,lifestyle - general
20,10114,0.4686172800977195,0.3291817009872017,lifestyle - general
21,10105,0.8414113540668304,0.07499163187773202,lifestyle - general
22,6160#4,0.6325266518344751,0.19892117054615585,lifestyle - general
23,6160#3,0.058606285843904676,1.2320558010310911,lifestyle - general
24,6160#5,0.431186981543051,0.3653343599024072,lifestyle - general
25,10722#1,0.8711528610732613,0.05990563271238261,lifestyle - general
26,10860#100,0.850392345912752,0.07038065740152284,lifestyle - general
27,20107#11,0.6482802639907426,0.1882371996995547,lifestyle - general
28,10860#3,0.9355682675142272,0.028924516958203934,lifestyle - general
29,20110#3,0.168093602192278,0.7744488159208271,lifestyle - general
30,20110#9,0.21129891786700192,0.675102727110456,lifestyle - general
31,20110#12,0.6076603349309374,0.21633911132888992,lifestyle - general
32,20110#11,0.06448893049335147,1.1905148254922961,lifestyle - general
33,20110#1,0.5598088330209968,0.25196025324032295,lifestyle - general
34,20110#8,0.009353407117582839,2.029030162086549,lifestyle - general
35,20110#100,0.033281036366049656,1.477803158311341,lifestyle - general
36,20107#101,0.014464023733134925,1.8397108742607833,lifestyle - general
37,20107#12,0.004188239144422237,2.3779685284884744,lifestyle - general
38,10860#2,0.8231953585072835,0.08449708695839972,lifestyle - general
39,20107#9,0.15238228406652207,0.817065521050102,lifestyle - general
