i,phesid,p_Asymmetry Pattern 41,-logp_Asymmetry Pattern 41,Category
0,1677,0.001848449382077283,2.7331924376445724,early life factors
1,1777,0.029051026465251924,1.5368385179958837,early life factors
2,1787,0.9571878710580402,0.0190028131571564,early life factors
3,1767,0.31290637939424937,0.5045855825633689,early life factors
4,1697,0.23847503990941193,0.6225570698602553,early life factors
5,1687,0.008614801717957851,2.064754714012559,early life factors
6,20022,0.6286020212315335,0.20162422686872453,early life factors
7,130,0.05716189813793055,1.242893358307552,early life factors
8,129,0.19960727616471505,0.6998236316829678,early life factors
9,10722#4,0.5795842612647623,0.23688341640077906,lifestyle - general
10,10722#5,0.24088368631082038,0.6181926113138044,lifestyle - general
11,10722#2,0.5389834089805449,0.26842460308616617,lifestyle - general
12,10722#100,0.9290583745013984,0.031956997602293626,lifestyle - general
13,10722#3,0.4174012527804246,0.3794462517851576,lifestyle - general
14,10721#1,0.3233463857656655,0.4903319890567443,lifestyle - general
15,10860#1,0.772570523026673,0.11206186612528655,lifestyle - general
16,10721#6,0.5591947704769106,0.2524368987138065,lifestyle - general
17,10721#2,0.8989453718398205,0.046266699178198666,lifestyle - general
18,10721#3,0.3401281438532036,0.4683574309474652,lifestyle - general
19,10721#100,0.4181897468279283,0.37862661941562176,lifestyle - general
20,10114,0.3326419793551943,0.4780229437759506,lifestyle - general
21,10105,0.905942210729037,0.04289950470944664,lifestyle - general
22,6160#4,0.708009321484882,0.14996102445317164,lifestyle - general
23,6160#3,0.09280407519937749,1.032432952684766,lifestyle - general
24,6160#5,0.08962495252895593,1.0475710613539113,lifestyle - general
25,10722#1,0.3465964678136369,0.46017586752188,lifestyle - general
26,10860#100,0.7227963209869525,0.14098406665223984,lifestyle - general
27,20107#11,0.8874209869996923,0.05187030468146481,lifestyle - general
28,10860#3,0.4491925922465711,0.34756741441628936,lifestyle - general
29,20110#3,0.10028974768275647,0.9987434613203784,lifestyle - general
30,20110#9,0.7348630907172803,0.13379356497626346,lifestyle - general
31,20110#12,0.588861774184068,0.22998663688384163,lifestyle - general
32,20110#11,0.21844123248491001,0.6606653817616296,lifestyle - general
33,20110#1,0.11654377267994241,0.9335109273170786,lifestyle - general
34,20110#8,0.8072741979393449,0.09297892819494334,lifestyle - general
35,20110#100,0.9563018179264731,0.019405018630675872,lifestyle - general
36,20107#101,0.43282054050412544,0.36369213695897473,lifestyle - general
37,20107#12,0.8906480555505458,0.05029387590434464,lifestyle - general
38,10860#2,0.06246769576667791,1.2043445134916793,lifestyle - general
39,20107#9,0.7677022080978968,0.11480721025500833,lifestyle - general
40,20107#3,0.9272619538949316,0.032797559210306734,lifestyle - general
41,20107#4,0.30932758160506807,0.5095813538253822,lifestyle - general
42,20107#6,0.2607210855845771,0.5838238442335768,lifestyle - general
43,20107#13,0.9817746774254559,0.007988173698990735,lifestyle - general
44,20107#8,0.9143303514767687,0.03889686345413795,lifestyle - general
45,20107#1,0.7807998711210373,0.10746026702608148,lifestyle - general
46,20107#2,0.6715179791884199,0.17294235506110361,lifestyle - general
47,20107#100,0.681177239752187,0.16673987159488654,lifestyle - general
48,6160#2,0.362770875563345,0.44036758679895743,lifestyle - general
49,20107#10,0.5505071433687863,0.25923704125986224,lifestyle - general
50,6160#1,0.9377232056992605,0.02792533643685801,lifestyle - general
51,6146#3,0.2997594685406447,0.5232270898971446,lifestyle - general
52,6146#1,0.3980804611878574,0.4000291381821431,lifestyle - general
53,6139#3,0.8108356428466635,0.09106716877109193,lifestyle - general
54,6139#2,0.45770729675781313,0.3394121640061846,lifestyle - general
55,6139#1,0.47142340747280764,0.32658885735710647,lifestyle - general
56,6139#100,0.9812269975618719,0.008230511086478936,lifestyle - general
57,6142#7,0.004635486754054915,2.3339046555861827,lifestyle - general
58,6142#100,0.08202666471441315,1.086044946934634,lifestyle - general
59,6142#4,0.8007774776822539,0.0964881501339676,lifestyle - general
60,6142#6,0.23368305244592286,0.631372783098173,lifestyle - general
61,6142#5,0.4412277231273548,0.35533720787514717,lifestyle - general
62,6140#1,0.9762016831964176,0.010460447855193202,lifestyle - general
63,6142#3,0.5748174483483889,0.24047005750647385,lifestyle - general
64,6142#1,5.55097733970708e-08,7.255630545548748,lifestyle - general
65,6138#2,0.06331436489345761,1.1984977451770253,lifestyle - general
66,6138#4,0.6401642671927696,0.19370857104490732,lifestyle - general
67,6138#1,0.6377161096014565,0.19537261198773445,lifestyle - general
68,6138#3,0.5180275401664252,0.28564715101852906,lifestyle - general
69,4501,0.07178799961477267,1.143948148190369,lifestyle - general
70,2159,0.21086980415912368,0.6759856053053513,lifestyle - general
71,1835,3.1462752287003105e-06,5.502203288998956,lifestyle - general
72,1797,2.384877644799361e-05,4.6225338973582755,lifestyle - general
73,6142#2,4.7957682408566965e-14,13.31914181267683,lifestyle - general
74,6160#100,0.6660190077432817,0.1765133761747079,lifestyle - general
75,6140#3,0.1777923269058395,0.7500869860787458,lifestyle - general
76,6140#100,0.993864965651365,0.0026726182749839873,lifestyle - general
77,20110#5,0.5955462092634595,0.22508453535745152,lifestyle - general
78,6146#2,0.38899715082598174,0.41005357961281574,lifestyle - general
79,6146#100,0.9579103672465371,0.018675126444829333,lifestyle - general
80,6145#4,0.18273041250427738,0.7381891653809016,lifestyle - general
81,6145#2,0.54866856188893,0.26068992369186333,lifestyle - general
82,6145#6,0.23221946187595152,0.6341013856691828,lifestyle - general
83,6145#3,0.8662410473160517,0.06236124083188733,lifestyle - general
84,6145#5,0.8270455745946891,0.08247055786022905,lifestyle - general
85,6145#100,0.9445447764358336,0.02477744939056587,lifestyle - general
86,6140#5,0.8835777470568544,0.05375523038787236,lifestyle - general
87,6145#1,0.43005824961182176,0.3664727170443903,lifestyle - general
88,6141#7,0.1501232496371004,0.8235520432185478,lifestyle - general
89,6141#3,0.9846210847159723,0.006730868463979541,lifestyle - general
90,6141#4,0.46604290534530046,0.33157409898177964,lifestyle - general
91,6141#8,0.657607105297881,0.1820335029877881,lifestyle - general
92,6141#2,8.773599765700359e-10,9.056822181136042,lifestyle - general
93,6141#1,0.9790390352026692,0.009199992124182646,lifestyle - general
94,6140#4,0.12751810750255788,0.8944281412686579,lifestyle - general
95,6140#6,0.017208728342332776,1.7642512211490629,lifestyle - general
96,6140#2,0.10474811066114527,0.9798538016489123,lifestyle - general
97,6141#6,0.14510970798887085,0.8383035318423313,lifestyle - general
98,20110#6,0.26757694908912055,0.5725513023937079,lifestyle - general
99,670_1.0,0.7195224342963954,0.1429556604636702,lifestyle - general
100,20110#10,0.9505469704633102,0.0220264179789485,lifestyle - general
101,1845,0.04081132256913644,1.3892193308535172,lifestyle - general
102,1807,0.35814692031482265,0.4459387789630699,lifestyle - general
103,767,0.41092399426436454,0.3862384991071456,lifestyle - general
104,699,9.990275041291333e-06,5.00042255509025,lifestyle - general
105,189,0.02676008400545396,1.5725125275616196,lifestyle - general
106,6,0.12956658182424052,0.8875069984717989,lifestyle - general
107,5,0.19635577576701876,0.7069563195178165,lifestyle - general
108,4,0.31341244917375366,0.5038837567503734,lifestyle - general
109,3,0.058003100003623555,1.2365487947389637,lifestyle - general
110,24504,0.10243275287826598,0.9895611554702514,lifestyle - general
111,24505,0.11698056848785353,0.9318862724363834,lifestyle - general
112,24506,0.2786754399825699,0.5549013045197345,lifestyle - general
113,24507,0.05446731170565568,1.2638640592818688,lifestyle - general
114,24508,0.77139355581429,0.1127239935306253,lifestyle - general
115,26410,0.02270914915985954,1.64379913711889,lifestyle - general
