i,phesid,p_Asymmetry Pattern 77,-logp_Asymmetry Pattern 77,Category
0,1677,0.6739191527610783,0.17139220081741977,early life factors
1,1777,0.4800560907991706,0.3187080157465449,early life factors
2,1787,0.5018168532770437,0.299454757205718,early life factors
3,1767,0.11120926020115943,0.9538590483041219,early life factors
4,1697,0.7044147953367597,0.1521715308057941,early life factors
5,1687,0.7949521055315713,0.0996590360352663,early life factors
6,20022,0.9205386309718037,0.035957981341556054,early life factors
7,130,0.2632896778124745,0.5795661669363059,early life factors
8,129,0.9190121362686705,0.036678753380251734,early life factors
9,10722#4,0.2006521523675745,0.6975561772889908,lifestyle - general
10,10722#5,0.14519703088781918,0.8380422643674696,lifestyle - general
11,10722#2,0.45236991053677855,0.34450628995885163,lifestyle - general
12,10722#100,0.3256300318879697,0.48727554824916325,lifestyle - general
13,10722#3,0.15416045715991689,0.8120270104586306,lifestyle - general
14,10721#1,0.33171394538709165,0.479236270182799,lifestyle - general
15,10860#1,0.6140857380148104,0.21177098887966903,lifestyle - general
16,10721#6,0.7735606340853033,0.1115056392799305,lifestyle - general
17,10721#2,0.25591509305058163,0.5919041000632346,lifestyle - general
18,10721#3,0.9589639318037357,0.018197727045378607,lifestyle - general
19,10721#100,0.5596726429960344,0.25206592104794706,lifestyle - general
20,10114,0.4341314043096435,0.3623787969185595,lifestyle - general
21,10105,0.02144872627549945,1.6685984931271203,lifestyle - general
22,6160#4,0.047762750393817034,1.3209106725305853,lifestyle - general
23,6160#3,0.411618608318032,0.3855050000243681,lifestyle - general
24,6160#5,0.8863209744161302,0.052408973176322385,lifestyle - general
25,10722#1,0.9048108477562379,0.04344220130493283,lifestyle - general
26,10860#100,0.2373095939788265,0.6246847037218157,lifestyle - general
27,20107#11,0.07802896079135649,1.1077441770852956,lifestyle - general
28,10860#3,0.42619669708663294,0.3703899202778651,lifestyle - general
29,20110#3,0.7716169987958242,0.11259821337404934,lifestyle - general
30,20110#9,0.651467935027948,0.18610695521329362,lifestyle - general
31,20110#12,0.6812987664987243,0.16666239735633462,lifestyle - general
32,20110#11,0.5388078930281887,0.26856605089730745,lifestyle - general
33,20110#1,0.7380796204055925,0.1318967860934377,lifestyle - general
34,20110#8,0.2085536048130884,0.6807822990480593,lifestyle - general
35,20110#100,0.5312381123536324,0.2747107751477192,lifestyle - general
36,20107#101,0.710657085103237,0.14833990978001182,lifestyle - general
37,20107#12,0.3788331865507816,0.4215519829302028,lifestyle - general
38,10860#2,0.5624321762204785,0.24992984169506707,lifestyle - general
39,20107#9,0.3922638095511867,0.4064217582411965,lifestyle - general
40,20107#3,0.9643353082504219,0.0157719316544149,lifestyle - general
41,20107#4,0.1889673417406006,0.7236132462362209,lifestyle - general
42,20107#6,0.5681601120298865,0.24552925940820758,lifestyle - general
43,20107#13,0.9819960709490675,0.007890249859234404,lifestyle - general
44,20107#8,0.23977345176659723,0.6201989045964154,lifestyle - general
45,20107#1,0.41703883614006654,0.37982350009583715,lifestyle - general
46,20107#2,0.5824239367514829,0.23476078447548113,lifestyle - general
47,20107#100,0.3678151334362541,0.4343704060586582,lifestyle - general
48,6160#2,0.6081890662402275,0.21596139167991424,lifestyle - general
49,20107#10,0.12834196839710046,0.8916313041640171,lifestyle - general
50,6160#1,0.5762763231644434,0.2393692234348953,lifestyle - general
51,6146#3,0.29052808410852315,0.5368118798525255,lifestyle - general
52,6146#1,0.0286826622943726,1.5423805403789232,lifestyle - general
53,6139#3,0.7713936754175578,0.11272392619400476,lifestyle - general
54,6139#2,0.34154615943317107,0.46655059379092045,lifestyle - general
55,6139#1,0.04005934706414152,1.3972961336433243,lifestyle - general
56,6139#100,0.07878106901784868,1.103578130338215,lifestyle - general
57,6142#7,0.27204361823300277,0.565361457586417,lifestyle - general
58,6142#100,0.09723823284022935,1.0121629424110834,lifestyle - general
59,6142#4,0.13298499905463557,0.8761973454631653,lifestyle - general
60,6142#6,0.6361556825175637,0.19643658909295797,lifestyle - general
61,6142#5,0.9030855018444109,0.044271129840052784,lifestyle - general
62,6140#1,0.6067816834310426,0.21696753748466055,lifestyle - general
63,6142#3,0.006533143815245503,2.184877781504037,lifestyle - general
64,6142#1,0.17664612575814523,0.7528958831672059,lifestyle - general
65,6138#2,0.7759488223105239,0.11016692168135259,lifestyle - general
66,6138#4,0.002626813819560656,2.5805707075728295,lifestyle - general
67,6138#1,0.027396027300796322,1.5623124096770877,lifestyle - general
68,6138#3,0.09896233620579904,1.0045300608596233,lifestyle - general
69,4501,0.482101604067458,0.31686142351287216,lifestyle - general
70,2159,0.7610190929399075,0.11860444723149383,lifestyle - general
71,1835,0.032830985534089904,1.4837160802437703,lifestyle - general
72,1797,0.005889921874137661,2.2298904657996443,lifestyle - general
73,6142#2,0.0035040469593818607,2.4554300822802815,lifestyle - general
74,6160#100,0.4584100060176145,0.3387459113050452,lifestyle - general
75,6140#3,0.33842072914629223,0.47054304315627415,lifestyle - general
76,6140#100,0.09031148749399497,1.044257004526523,lifestyle - general
77,20110#5,0.6919667688539034,0.15991476168474017,lifestyle - general
78,6146#2,0.2292695274243484,0.639653664201141,lifestyle - general
79,6146#100,0.16379797857461964,0.7856914621562187,lifestyle - general
80,6145#4,0.8068055212143558,0.09323113844052706,lifestyle - general
81,6145#2,0.0013406091046238979,2.8726978354610964,lifestyle - general
82,6145#6,0.9174036542893489,0.03743953427757159,lifestyle - general
83,6145#3,0.36114593402891565,0.4423172702921176,lifestyle - general
84,6145#5,0.7106510172019243,0.14834361799226023,lifestyle - general
85,6145#100,0.7305050034936713,0.1363768050791028,lifestyle - general
86,6140#5,0.026580696839491144,1.5754336377808407,lifestyle - general
87,6145#1,0.2592381621080386,0.5863010661772518,lifestyle - general
88,6141#7,0.04704591378111111,1.3274780916709716,lifestyle - general
89,6141#3,0.3422355717165729,0.4656748521960481,lifestyle - general
90,6141#4,0.34245435701859356,0.4653973039259908,lifestyle - general
91,6141#8,0.8372600032730866,0.07713965496713414,lifestyle - general
92,6141#2,0.052902269510393306,1.276525696307003,lifestyle - general
93,6141#1,0.15210597967449865,0.8178537123862422,lifestyle - general
94,6140#4,0.32283113186225365,0.49102459122365066,lifestyle - general
95,6140#6,0.04298148389533699,1.3667185949769167,lifestyle - general
96,6140#2,0.06669150295844949,1.1759294952188313,lifestyle - general
97,6141#6,0.15840776760420483,0.8002235263769952,lifestyle - general
98,20110#6,0.8549634086734662,0.06805247211540655,lifestyle - general
99,670_1.0,0.5362649198956287,0.27062061175229424,lifestyle - general
100,20110#10,0.6339592961597608,0.19793862543166355,lifestyle - general
101,1845,0.25113337121783924,0.600095573337293,lifestyle - general
102,1807,0.19592037939179924,0.7079203868890316,lifestyle - general
103,767,0.4344784781053326,0.3620317314629286,lifestyle - general
104,699,0.0015724403387010102,2.8034258235071614,lifestyle - general
105,189,0.07826990257611531,1.1064052067535404,lifestyle - general
106,6,0.7946201384119917,0.09984043262274697,lifestyle - general
107,5,0.692905304790846,0.15932611375307806,lifestyle - general
108,4,0.7754247536447597,0.11046033925899461,lifestyle - general
109,3,0.6814348662071765,0.16657564914502265,lifestyle - general
110,24504,0.16228172294999785,0.7897303900254853,lifestyle - general
111,24505,0.013284373955585413,1.8766589074969193,lifestyle - general
112,24506,0.5321447659724228,0.2739702050913887,lifestyle - general
113,24507,0.169722589326705,0.77026035115877,lifestyle - general
114,24508,0.9067344035701376,0.042519905834851095,lifestyle - general
115,26410,0.3304316359276323,0.48091837947795524,lifestyle - general
116,26411,0.11937502706945306,0.9230865169276715,lifestyle - general
117,26412,0.5283097307681849,0.2771113901080478,lifestyle - general
118,26413,0.5117545561496583,0.2909382821254527,lifestyle - general
119,26414,0.20011918769491013,0.6987112686325928,lifestyle - general
120,2139,0.015992157321688003,1.7960929465284514,lifestyle - general
121,2946,0.003027362701679784,2.518935544057729,lifestyle - general
122,3526,0.4413606478408861,0.3552063915808687,lifestyle - general
123,3659,0.3267333794831679,0.48580649520062025,lifestyle - general
124,24501,0.4900423023592172,0.30976642836291657,lifestyle - general
125,24500,0.15790122140838928,0.8016145105941629,lifestyle - general
126,24020,0.9433987486230324,0.025304704162473265,lifestyle - general
127,24019,0.3151099928009602,0.5015378242157095,lifestyle - general
128,24018,0.8353334539448105,0.07814012535495278,lifestyle - general
129,24017,0.8122622959301361,0.09030370563494731,lifestyle - general
130,24016,0.9760317460436958,0.010536056403616207,lifestyle - general
131,24012,0.6571430142132607,0.1823401045275502,lifestyle - general
132,24011,0.12437712918084035,0.9052594716044082,lifestyle - general
133,26415,0.0505745631370273,1.2960678599757998,lifestyle - general
134,24010,0.9909242860843293,0.003959527544962623,lifestyle - general
135,24007,0.4505704432247571,0.34623730077331655,lifestyle - general
136,24006,0.6498479232793701,0.18718826460023602,lifestyle - general
137,24005,0.3287735512977361,0.4831031272252356,lifestyle - general
138,24004,0.5733194705362951,0.24160330887440098,lifestyle - general
139,24003,0.6575059182355363,0.18210033371962128,lifestyle - general
140,22704,0.8381158741130463,0.07669593362630807,lifestyle - general
141,22702,0.3876846422345407,0.41152140282281424,lifestyle - general
142,20075,0.6504756112977242,0.1867689820806897,lifestyle - general
143,20074,0.27849853941356606,0.5551770781430062,lifestyle - general
144,24008,0.3126792250584934,0.5049009730653008,lifestyle - general
145,26416,0.7177279335425886,0.14404015095685763,lifestyle - general
146,26417,0.6961676098022229,0.15728618675612321,lifestyle - general
147,26427,0.4963398621379374,0.3042208442639985,lifestyle - general
148,738,0.5158690451020567,0.28746053133331845,lifestyle - general
149,728,0.12167971086146902,0.9147818309358083,lifestyle - general
150,709,0.005085650929581282,2.293653452370944,lifestyle - general
151,24502,0.08687148931043923,1.06112273295045,lifestyle - general
152,24014,0.7017520924172743,0.15381628375384201,lifestyle - general
153,20111#101,0.5788362162252859,0.23744430406519504,lifestyle - general
154,20111#11,0.8201038729690844,0.08613113712811112,lifestyle - general
155,20111#4,0.044902223121181174,1.3477321564274034,lifestyle - general
156,20111#10,0.8991851437197128,0.046150877101804405,lifestyle - general
157,777,0.7994728064317359,0.09719630392211578,lifestyle - general
158,20111#6,0.1375842886770359,0.8614311571647861,lifestyle - general
159,20111#1,0.1827681780118847,0.738099417556729,lifestyle - general
160,20111#12,0.26536206176972815,0.5761611671603507,lifestyle - general
161,20111#13,0.9666312212537996,0.014739181678758326,lifestyle - general
162,20111#3,0.3583437616492884,0.4457001516935976,lifestyle - general
163,20111#9,0.24698680538765472,0.6073262471467875,lifestyle - general
164,20111#8,0.1911487992311221,0.718628425810978,lifestyle - general
165,20111#5,0.5553758263891037,0.2554130275283212,lifestyle - general
166,20111#100,0.02052951799260289,1.6876212472007779,lifestyle - general
167,20110#4,0.9500336768190941,0.022260999555918305,lifestyle - general
168,20111#2,0.8166787421166655,0.08794874880917543,lifestyle - general
169,20110#2,0.2423282540498211,0.6155959467268673,lifestyle - general
170,1031,0.7443944414370137,0.12819687850506073,lifestyle - general
171,1883,0.7611914321392161,0.11850610871344784,lifestyle - general
172,26428,0.5597179583828955,0.25203075866147423,lifestyle - general
173,26429,0.632947810695794,0.1986320979782864,lifestyle - general
174,26430,0.46894984177803023,0.32887360633384033,lifestyle - general
175,26431,0.8712437778351217,0.05986031048535045,lifestyle - general
176,26432,0.7288908462488034,0.13733750380982052,lifestyle - general
177,26433,0.1748814449305003,0.7572562670895314,lifestyle - general
178,26434,0.4013227727399947,0.39650619587366187,lifestyle - general
179,24015,0.9403303240739278,0.026719558397878884,lifestyle - general
180,24013,0.8452193889710626,0.07303054897590036,lifestyle - general
181,1873,0.24073455951159187,0.6184615585500871,lifestyle - general
182,24009,0.6462713696892963,0.18958508322535014,lifestyle - general
183,10740,0.18950682018728107,0.7223751555302006,lifestyle - general
184,5057,0.695865420138144,0.15747474450272336,lifestyle - general
185,4674,0.9385614797222599,0.027537273996693225,lifestyle - general
186,3669,0.4164895706304972,0.38039586934563346,lifestyle - general
187,2405,0.8763770158977626,0.05730902088730862,lifestyle - general
188,2385,0.03609970138917332,1.4424963904924204,lifestyle - general
189,2375,0.7223452153883921,0.1412551995117451,lifestyle - general
190,2237,0.10738027939867818,0.969075470356518,lifestyle - general
191,2149,0.13831281897314693,0.8591375671697488,lifestyle - general
192,10877,0.7575467484398696,0.12059056155434308,lifestyle - general
193,20110#101,0.6026586056203528,0.2199286375814449,lifestyle - general
194,24503,0.10295378101582066,0.9873576991270219,lifestyle - general
195,20118_12.0,0.9334719301453285,0.02989873691819968,lifestyle - general
196,20118_16.0,0.004873859785498145,2.312126969049603,lifestyle - general
197,20118_13.0,0.7457254223636013,0.12742105121800845,lifestyle - general
198,20118_11.0,0.24926040388265816,0.6033467056159785,lifestyle - general
199,20118_8.0,0.7412625212495122,0.13002795755531482,lifestyle - general
200,20118_7.0,0.018060832331904343,1.7432622391374788,lifestyle - general
201,20118_6.0,0.842139645398149,0.0746158868884325,lifestyle - general
202,2395_4.0,0.00030386619720433876,3.517317609180135,lifestyle - general
203,2395_3.0,0.006580786853266531,2.181722175443626,lifestyle - general
204,2395_2.0,0.06596691369361028,1.1806738342034488,lifestyle - general
205,20118_5.0,0.7212149667919671,0.1419352692933433,lifestyle - general
206,680_6.0,0.43326089625063835,0.36325050623200406,lifestyle - general
207,680_5.0,0.0071526398934956695,2.1455336393767244,lifestyle - general
208,680_4.0,0.6867313829102716,0.16321310534596212,lifestyle - general
209,680_3.0,0.5960589348726577,0.2247107976010426,lifestyle - general
210,680_2.0,0.005626441716257863,2.2497661755830207,lifestyle - general
211,680_1.0,0.0041272572778062915,2.384338457982539,lifestyle - general
212,670_4.0,0.29372590543596216,0.5320577487725796,lifestyle - general
213,2395_1.0,0.13501026114256168,0.869633222703211,lifestyle - general
214,670_3.0,0.34404185717355346,0.4633887166330002,lifestyle - general
215,670_2.0,0.5143702169287984,0.2887241858807631,lifestyle - general
216,3637,0.09019817646367875,1.0448022424998238,lifestyle - exercise & work
217,3426,0.046582111796148365,1.3317808266509612,lifestyle - exercise & work
218,2634,0.5053326366343203,0.2964226521823589,lifestyle - exercise & work
219,1220,0.30343241758364375,0.5179380226738619,lifestyle - exercise & work
220,2624,0.3445344403523004,0.46276735864066487,lifestyle - exercise & work
221,3647,0.008498099349544961,2.070678195968681,lifestyle - exercise & work
222,1160,0.16572347123747905,0.7806159785628943,lifestyle - exercise & work
223,10953,0.43112940005652084,0.3653923602429565,lifestyle - exercise & work
224,1130,0.636937222116881,0.19590337054029036,lifestyle - exercise & work
225,104920,0.17653478596904346,0.7531697046338789,lifestyle - exercise & work
226,1120,0.010874383862316256,1.9635953406056585,lifestyle - exercise & work
227,1110,0.0073037129198183105,2.136456305543449,lifestyle - exercise & work
228,914,0.3688977627722707,0.4330939785997182,lifestyle - exercise & work
229,894,0.3267808928441092,0.48574334496386606,lifestyle - exercise & work
230,874,0.3122653041895188,0.5054762675665361,lifestyle - exercise & work
231,1200,0.002175444048733415,2.662452082051252,lifestyle - exercise & work
232,1140,0.02322166684586888,1.6341066099212322,lifestyle - exercise & work
233,1190,0.14693554815151466,0.832873122532478,lifestyle - exercise & work
234,6164#3,0.7011973351216686,0.15415974309757166,lifestyle - exercise & work
235,1170,0.22442168041891286,0.6489351900563398,lifestyle - exercise & work
236,6162#3,0.1316794060731758,0.8804821409693214,lifestyle - exercise & work
237,6162#100,0.8531701996075757,0.06896432243500221,lifestyle - exercise & work
238,6164#1,0.9169278271312654,0.037664847004113655,lifestyle - exercise & work
239,6164#2,0.15640586677463358,0.8057469606108038,lifestyle - exercise & work
240,6164#100,0.6702219789231886,0.17378133423195447,lifestyle - exercise & work
241,6164#4,0.45041785166911885,0.3463844051732469,lifestyle - exercise & work
242,796,0.5368632339058712,0.27013633687962835,lifestyle - exercise & work
243,6164#5,0.35207926267911704,0.45335955393933464,lifestyle - exercise & work
244,6162#1,0.7073586345645267,0.15036034076898577,lifestyle - exercise & work
245,6143#100,0.3322769082179987,0.4784998392267519,lifestyle - exercise & work
246,6143#3,0.7022202969366799,0.15352662186553168,lifestyle - exercise & work
247,6143#4,0.5651034350612543,0.24787205277356947,lifestyle - exercise & work
248,6143#2,0.3211123100305069,0.49334304517829525,lifestyle - exercise & work
249,6143#1,0.36285414236845476,0.44026791461773446,lifestyle - exercise & work
250,1210,0.012805417085307972,1.8926062715573022,lifestyle - exercise & work
251,1180,0.3810973252981851,0.41896409927904055,lifestyle - exercise & work
252,1100,0.043556300011779,1.360949019474476,lifestyle - exercise & work
253,884,0.19813138337649402,0.7030467281579033,lifestyle - exercise & work
254,1080,0.7782443386829471,0.1088840298972289,lifestyle - exercise & work
255,1150_1.0,0.6092620676975614,0.21519585995603074,lifestyle - exercise & work
256,1150_2.0,0.6724433281340957,0.17234431105156683,lifestyle - exercise & work
257,1150_3.0,0.2095791846679328,0.6786518535240216,lifestyle - exercise & work
258,1001,0.504290960651442,0.29731881644206176,lifestyle - exercise & work
259,1011,0.3564356402066911,0.44801887710646,lifestyle - exercise & work
260,1090,0.2919379887895458,0.534709388231598,lifestyle - exercise & work
261,806,0.677147818836388,0.16931651610439394,lifestyle - exercise & work
262,816,0.38006603535302835,0.4201409394414559,lifestyle - exercise & work
263,826,0.5646111444016947,0.2482505539177678,lifestyle - exercise & work
264,845,0.304347187052222,0.5166307078861442,lifestyle - exercise & work
265,6162#2,0.1228719261586709,0.9105473336076235,lifestyle - exercise & work
266,6162#4,0.6062155637417407,0.21737291791826807,lifestyle - exercise & work
267,904,0.41388545025417467,0.3831198405366421,lifestyle - exercise & work
268,924,0.21807098197017846,0.6614021207975913,lifestyle - exercise & work
269,943,0.5904817734477428,0.22879350332266962,lifestyle - exercise & work
270,1070,0.32764670295089243,0.484594197912141,lifestyle - exercise & work
271,1021,0.5141978508702632,0.28886974285678346,lifestyle - exercise & work
272,991,0.6122098327932857,0.21309969941432563,lifestyle - exercise & work
273,971,0.7217504642755292,0.14161292808148426,lifestyle - exercise & work
274,981,0.7868886521340909,0.10408671768538573,lifestyle - exercise & work
275,864,0.4492844962133043,0.34747856766378094,lifestyle - exercise & work
276,1558,0.021268938749840666,1.672254179424328,lifestyle - alcohol
277,4429,0.5099319309342942,0.29248779251501045,lifestyle - alcohol
278,4440,0.946099889112916,0.024063008418117076,lifestyle - alcohol
279,4451,0.009385823536407,2.0275276152508543,lifestyle - alcohol
280,4462,0.6770351514700522,0.16938878228507412,lifestyle - alcohol
281,1628,0.9759284341609463,0.010582028428138065,lifestyle - alcohol
282,20403,0.8746375027998791,0.05817190486692787,lifestyle - alcohol
283,20408,0.8446160535737369,0.0733406682198604,lifestyle - alcohol
284,20409,0.8389921681210569,0.07624209323290092,lifestyle - alcohol
285,20414,0.21617970456970123,0.6651850809984424,lifestyle - alcohol
286,20416,0.11937684504409447,0.9230799030624228,lifestyle - alcohol
287,1608,0.11620507981657327,0.9347748866781634,lifestyle - alcohol
288,1588,0.03215627054676036,1.4927343260580197,lifestyle - alcohol
289,1578,0.44086119947908864,0.3556981220710079,lifestyle - alcohol
