i,phesid,p_Asymmetry Pattern 30,-logp_Asymmetry Pattern 30,Category
0,1677,0.09867660194704234,1.0057858144017806,early life factors
1,1777,0.27482483775942695,0.5609440197405621,early life factors
2,1787,0.00011844437277315168,3.926485567542493,early life factors
3,1767,0.21519948461389224,0.6671587731060697,early life factors
4,1697,0.09919104719998859,1.0035275246916473,early life factors
5,1687,0.8507162401722536,0.0702152764346967,early life factors
6,20022,0.8648860821222737,0.06304109156842788,early life factors
7,130,0.29074281894978643,0.5364910030964906,early life factors
8,129,0.4213287982279271,0.3753788554137696,early life factors
9,10722#4,0.6035246521393921,0.21930498560069572,lifestyle - general
10,10722#5,0.3507380122578396,0.45501716363314565,lifestyle - general
11,10722#2,0.008050102526253548,2.094198588414415,lifestyle - general
12,10722#100,0.07326085694005083,1.1351280056529267,lifestyle - general
13,10722#3,0.6285978057204848,0.20162713933044718,lifestyle - general
14,10721#1,0.01861391824584248,1.7301621978830002,lifestyle - general
15,10860#1,0.3168878351484242,0.4990944324074178,lifestyle - general
16,10721#6,0.2507652693692274,0.6007326128403585,lifestyle - general
17,10721#2,0.4801823293449868,0.31859382597238634,lifestyle - general
18,10721#3,0.668949566445793,0.17460662339799443,lifestyle - general
19,10721#100,0.3871726877265782,0.4120952866632309,lifestyle - general
20,10114,0.47719571625352375,0.32130346360984086,lifestyle - general
21,10105,0.975206038517601,0.01090361821129705,lifestyle - general
22,6160#4,0.260981916204942,0.5833895844797108,lifestyle - general
23,6160#3,0.16324706690358398,0.7871546130484895,lifestyle - general
24,6160#5,0.8031557543734426,0.09520022470197474,lifestyle - general
25,10722#1,0.11410039671394345,0.9427128455872453,lifestyle - general
26,10860#100,0.43012750725318577,0.36640278282076716,lifestyle - general
27,20107#11,0.14769986096177282,0.8306199135138004,lifestyle - general
28,10860#3,0.02685788446690059,1.5709281986864723,lifestyle - general
29,20110#3,0.09006636203710869,1.045437378936239,lifestyle - general
30,20110#9,0.404296543967156,0.3932999711135397,lifestyle - general
31,20110#12,0.09263709262528944,1.0332150835454752,lifestyle - general
32,20110#11,0.46296461293388597,0.33445220335543197,lifestyle - general
33,20110#1,0.7945461500288583,0.0998808723763168,lifestyle - general
34,20110#8,0.6349245486713805,0.19727788107431524,lifestyle - general
35,20110#100,0.8654482057485542,0.06275891811866102,lifestyle - general
36,20107#101,0.7659226972496909,0.11581506046141317,lifestyle - general
37,20107#12,0.24424514763834343,0.6121740555511531,lifestyle - general
38,10860#2,0.23283017134162134,0.6329607422431641,lifestyle - general
39,20107#9,0.5899468908725115,0.22918708333950447,lifestyle - general
40,20107#3,0.09883428149196538,1.0050923906306457,lifestyle - general
41,20107#4,0.8373877278611885,0.07707340809874226,lifestyle - general
42,20107#6,0.5891160860908542,0.22979911848771553,lifestyle - general
43,20107#13,0.6031579439881446,0.2195689478588232,lifestyle - general
44,20107#8,0.06911866497933451,1.1604046588061818,lifestyle - general
45,20107#1,0.31832427302769317,0.497130244068087,lifestyle - general
46,20107#2,0.23438849801260203,0.6300637039688791,lifestyle - general
47,20107#100,0.7000069155082915,0.15489766948252162,lifestyle - general
48,6160#2,0.07310911552537779,1.1360284701616967,lifestyle - general
49,20107#10,0.24575711678837495,0.6094938967423486,lifestyle - general
50,6160#1,0.008952421981992878,2.048059455061954,lifestyle - general
51,6146#3,0.19778033530404665,0.7038168911690378,lifestyle - general
52,6146#1,0.2517738130161421,0.5989894428302696,lifestyle - general
53,6139#3,0.2024906028944164,0.6935951265520123,lifestyle - general
54,6139#2,0.822599977076712,0.08481130692927216,lifestyle - general
55,6139#1,0.5426597152127516,0.265472417429526,lifestyle - general
56,6139#100,0.7923833212644166,0.10106467442458325,lifestyle - general
57,6142#7,0.8809495655796006,0.05504895426383263,lifestyle - general
58,6142#100,0.992059927082715,0.003462092749801995,lifestyle - general
59,6142#4,0.8573015947678712,0.0668663683900951,lifestyle - general
60,6142#6,0.6541396515031591,0.18432952476026584,lifestyle - general
61,6142#5,0.005565048575865309,2.254531040468862,lifestyle - general
62,6140#1,0.8192064104542319,0.08660665791364655,lifestyle - general
63,6142#3,0.4247533956119627,0.37186314055863784,lifestyle - general
64,6142#1,7.519324850984238e-08,7.123821152314637,lifestyle - general
65,6138#2,0.907709547508625,0.04205309651614098,lifestyle - general
