,Pattern 30
"Middle Temporal Gyrus, anterior division",-0.10482245983998628
Superior Frontal Gyrus,-0.07276342353731831
Frontal Pole,0.12560050895664068
Planum Temporale,-0.049133405516660435
"Inferior Temporal Gyrus, temporooccipital part",-0.022328001167305375
Central Opercular Cortex,0.11839030406373613
Precuneous Cortex,0.06493397781512325
Occipital Pole,0.0771256023200783
Lingual Gyrus,-0.05407283371880457
"Inferior Frontal Gyrus, pars opercularis",-0.07705070822124056
Putamen,-0.09923792968501252
"Inferior Frontal Gyrus, pars triangularis",0.03772091255324686
Middle Frontal Gyrus,-0.0038233402617318174
Thalamus,0.1520993476768637
Frontal Operculum Cortex,0.06530043962729648
Precentral Gyrus,-0.14720910615814173
Parietal Operculum Cortex,-0.06566914749252538
Caudate,0.14063826300009735
Pallidum,-0.16435619807655552
Occipital Fusiform Gyrus,-0.02155275857665872
Superior Parietal Lobule,-0.2434414108993156
Angular Gyrus,0.09547469358036184
"Lateral Occipital Cortex, inferior division",-0.11331733255977462
"Inferior Temporal Gyrus, anterior division",-0.2386469112787449
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.01053600071582085
Cuneal Cortex,0.08308826676559161
Temporal Pole,0.12603114667308685
Subcallosal Cortex,0.02376892694062548
Planum Polare,-0.025242519501594157
Paracingulate Gyrus,0.04073198400491022
Insular Cortex,0.0814946101597562
Temporal Occipital Fusiform Cortex,-0.0910380570055477
Hippocampus,-0.20942835633873455
"Middle Temporal Gyrus, temporooccipital part",-0.19439270617556956
"Temporal Fusiform Cortex, anterior division",-0.0007831306633616225
"Lateral Occipital Cortex, superior division",0.0765593652694476
Supracalcarine Cortex,0.062189138511281127
Heschl's Gyrus (includes H1 and H2),0.2610191028856757
"Supramarginal Gyrus, posterior division",0.01922109672515815
Postcentral Gyrus,0.006607696465128141
Intracalcarine Cortex,0.11077812371445298
Frontal Orbital Cortex,0.15507453267295626
"Parahippocampal Gyrus, posterior division",-0.05018433537249388
Amygdala,-0.2563053111702115
"Inferior Temporal Gyrus, posterior division",0.062070492896260425
Frontal Medial Cortex,-0.07723160685448223
"Cingulate Gyrus, posterior division",0.07165795064739951
"Superior Temporal Gyrus, posterior division",-0.15462214222153792
"Middle Temporal Gyrus, posterior division",-0.06679849865437107
Ventral Striatum,-0.03301399687004691
"Supramarginal Gyrus, anterior division",0.12334175904181376
"Cingulate Gyrus, anterior division",0.02193659683449781
"Superior Temporal Gyrus, anterior division",0.04481749174104635
"Parahippocampal Gyrus, anterior division",0.08234406587750039
"Temporal Fusiform Cortex, posterior division",0.029786562267745512
FA anterior corona radiata,0.03242883548108448
FA cingulum hippocampus,0.09335866789285964
FA fornix cres+stria terminalis,0.09329715641724297
FA corticospinal tract,-0.07312681025275912
FA inferior cerebellar peduncle,0.06239248560055283
FA posterior corona radiata,0.055725858186471036
FA tapetum,-0.06279769558894094
FA superior cerebellar peduncle,-0.286571837331997
FA uncinate fasciculus,-0.1989496762946055
FA cerebral peduncle,-0.035900039639027985
FA posterior thalamic radiation,-0.03932852151123432
FA anterior limb of internal capsule,-0.02196087975104237
FA superior longitudinal fasciculus,0.06498055654731537
FA external capsule,-0.19480390964652425
FA retrolenticular part of internal capsule,0.02107847717899196
FA sagittal stratum,-0.14332987344935802
FA cingulum cingulate gyrus,-0.042719811540843325
FA superior fronto-occipital fasciculus,-0.07374015559824322
FA posterior limb of internal capsule,0.0717885958660616
FA medial lemniscus,-0.09973082523677047
FA superior corona radiata,0.1074065012478574
V Cerebellum,-0.040242827799414176
Crus I Cerebellum,-0.02744288975453342
VIIIa Cerebellum,0.11937750338660386
VIIIb Cerebellum,0.008446862936308086
I-IV Cerebellum,0.005578765872661914
IX Cerebellum,-0.05055382049886927
Crus II Cerebellum,0.02186093708390498
VIIb Cerebellum,0.15704834205632634
VI Cerebellum,-0.07551334132375916
