,Pattern 2
"Middle Temporal Gyrus, anterior division",-0.0030543077689374988
Superior Frontal Gyrus,-0.03816463236868655
Frontal Pole,-0.0316200598654496
Planum Temporale,0.2661338431637607
"Inferior Temporal Gyrus, temporooccipital part",0.06724233222264382
Central Opercular Cortex,0.10204010231458542
Precuneous Cortex,0.10162591922004252
Occipital Pole,-0.12554161044839718
Lingual Gyrus,-0.08922952197458095
"Inferior Frontal Gyrus, pars opercularis",-0.016868009965622908
Putamen,-0.14412869051024071
"Inferior Frontal Gyrus, pars triangularis",-0.049683111206061975
Middle Frontal Gyrus,-0.021758680122321798
Thalamus,-0.11130348635561554
Frontal Operculum Cortex,-0.04337884351101107
Precentral Gyrus,0.06487195478461505
Parietal Operculum Cortex,0.1498047522519489
Caudate,-0.1217959610391922
Pallidum,-0.10368743436465458
Occipital Fusiform Gyrus,0.1528097581713968
Superior Parietal Lobule,0.005626493788896646
Angular Gyrus,-0.06871738584785382
"Lateral Occipital Cortex, inferior division",0.045060351073255095
"Inferior Temporal Gyrus, anterior division",-0.02884579937506856
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.04861796144332818
Cuneal Cortex,0.03716809490674435
Temporal Pole,-0.025237817971915287
Subcallosal Cortex,0.06918232342436885
Planum Polare,-0.07466815919147736
Paracingulate Gyrus,0.13815534685435313
Insular Cortex,-0.12072770585990612
Temporal Occipital Fusiform Cortex,-0.14599528860831698
Hippocampus,-0.060392904610551065
"Middle Temporal Gyrus, temporooccipital part",-0.07674833978059548
"Temporal Fusiform Cortex, anterior division",-0.07182133971452814
"Lateral Occipital Cortex, superior division",-0.12822668021118389
Supracalcarine Cortex,0.061837134344100764
Heschl's Gyrus (includes H1 and H2),0.13792416163894225
"Supramarginal Gyrus, posterior division",0.07481883781301775
Postcentral Gyrus,0.06409914504045727
Intracalcarine Cortex,0.007706533289752657
Frontal Orbital Cortex,-0.0039098112044118815
"Parahippocampal Gyrus, posterior division",-0.14470957084723746
Amygdala,-0.0891988853152059
"Inferior Temporal Gyrus, posterior division",-0.019728486224219004
Frontal Medial Cortex,0.11330264939000848
"Cingulate Gyrus, posterior division",0.0007921945935064322
"Superior Temporal Gyrus, posterior division",0.2243023154914024
"Middle Temporal Gyrus, posterior division",0.13469241411560368
Ventral Striatum,-0.0782178569325678
"Supramarginal Gyrus, anterior division",0.09900348079664847
"Cingulate Gyrus, anterior division",0.013522382147512516
"Superior Temporal Gyrus, anterior division",-0.004731544006986163
"Parahippocampal Gyrus, anterior division",-0.06356966380921368
"Temporal Fusiform Cortex, posterior division",-0.13553464757555855
FA anterior corona radiata,0.06731067387362122
FA cingulum hippocampus,-0.1904542360339436
FA fornix cres+stria terminalis,-0.07419372966142135
FA corticospinal tract,-0.1666635697927317
FA inferior cerebellar peduncle,0.052546949619799714
FA posterior corona radiata,-0.05000777379752232
FA tapetum,0.09895958667368976
FA superior cerebellar peduncle,-0.040879411445028206
FA uncinate fasciculus,0.02026587114068095
FA cerebral peduncle,-0.19011730927777928
FA posterior thalamic radiation,-0.16631368490173212
FA anterior limb of internal capsule,0.023928528299974525
FA superior longitudinal fasciculus,-0.07236906805246546
FA external capsule,-0.017798646320420657
FA retrolenticular part of internal capsule,-0.03661323953642902
FA sagittal stratum,-0.1207035229204968
FA cingulum cingulate gyrus,0.0741928253921265
FA superior fronto-occipital fasciculus,0.06971365829986975
FA posterior limb of internal capsule,-0.0396905112005218
FA medial lemniscus,-0.11723433112330303
FA superior corona radiata,0.07768944500479216
V Cerebellum,-0.09778979097933488
Crus I Cerebellum,0.08398940503945622
VIIIa Cerebellum,-0.2402481203819067
VIIIb Cerebellum,-0.02478913149118535
I-IV Cerebellum,0.09983679734191377
IX Cerebellum,0.1135187198448004
Crus II Cerebellum,0.10962461513062273
VIIb Cerebellum,-0.2486424999718501
VI Cerebellum,-0.3053240714498792
