,Pattern 16
"Middle Temporal Gyrus, anterior division",0.07205743406003898
Superior Frontal Gyrus,-0.07783949028521336
Frontal Pole,0.16346841435284645
Planum Temporale,-0.036137215475698765
"Inferior Temporal Gyrus, temporooccipital part",-0.06005668445642578
Central Opercular Cortex,-0.04370779407419853
Precuneous Cortex,-0.16429409762325553
Occipital Pole,0.025200011409458326
Lingual Gyrus,-0.0825836525159352
"Inferior Frontal Gyrus, pars opercularis",-0.09433201876310017
Putamen,-0.08478125384457398
"Inferior Frontal Gyrus, pars triangularis",-0.0018986395541581989
Middle Frontal Gyrus,-0.14864323199055554
Thalamus,-0.0148615621916236
Frontal Operculum Cortex,-0.003557959335650132
Precentral Gyrus,0.1091093944406236
Parietal Operculum Cortex,0.022006618832695918
Caudate,-0.14688035079391415
Pallidum,-0.10229174423311264
Occipital Fusiform Gyrus,0.1485612035806139
Superior Parietal Lobule,-0.128784482450848
Angular Gyrus,-0.1134854969637993
"Lateral Occipital Cortex, inferior division",0.016103532132074102
"Inferior Temporal Gyrus, anterior division",0.07697674350235542
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.06170270690292221
Cuneal Cortex,-0.13534079489511375
Temporal Pole,0.012401275919615371
Subcallosal Cortex,0.1046837835200478
Planum Polare,-0.042154877763648985
Paracingulate Gyrus,0.005843577236320716
Insular Cortex,-0.0593082887008638
Temporal Occipital Fusiform Cortex,0.19390811202014616
Hippocampus,0.07485411019583821
"Middle Temporal Gyrus, temporooccipital part",-0.06344338400820608
"Temporal Fusiform Cortex, anterior division",0.1278279958367432
"Lateral Occipital Cortex, superior division",0.15847382835514806
Supracalcarine Cortex,-0.19284347297650836
Heschl's Gyrus (includes H1 and H2),-0.04197557103832576
"Supramarginal Gyrus, posterior division",-0.13911384237435065
Postcentral Gyrus,0.07478593866095401
Intracalcarine Cortex,-0.0860722889529095
Frontal Orbital Cortex,0.08975880559839128
"Parahippocampal Gyrus, posterior division",0.024932325623940533
Amygdala,-0.05401176617044065
"Inferior Temporal Gyrus, posterior division",-0.005504408546184114
Frontal Medial Cortex,0.11966599738576697
"Cingulate Gyrus, posterior division",0.047839939784998765
"Superior Temporal Gyrus, posterior division",-0.05629206476340449
"Middle Temporal Gyrus, posterior division",-0.05439693717237472
Ventral Striatum,-0.0007029914272162207
"Supramarginal Gyrus, anterior division",0.01031638418183245
"Cingulate Gyrus, anterior division",-0.04397316253768453
"Superior Temporal Gyrus, anterior division",-0.0005226413530306784
"Parahippocampal Gyrus, anterior division",0.030274940210257336
"Temporal Fusiform Cortex, posterior division",0.1503314386483419
FA anterior corona radiata,0.07508176988597035
FA cingulum hippocampus,-0.120176887070507
FA fornix cres+stria terminalis,-0.07846661561540627
FA corticospinal tract,-0.1901945797712813
FA inferior cerebellar peduncle,-0.2332355841484569
FA posterior corona radiata,-0.04974740578045311
FA tapetum,-0.04349248780613009
FA superior cerebellar peduncle,0.035864764090754266
FA uncinate fasciculus,0.07466206788795549
FA cerebral peduncle,-0.16624647003693144
FA posterior thalamic radiation,-0.12074391230059135
FA anterior limb of internal capsule,0.013479000243864364
FA superior longitudinal fasciculus,-0.04776912840287879
FA external capsule,0.022908984019247517
FA retrolenticular part of internal capsule,-0.02460253923795373
FA sagittal stratum,-0.05196695745646493
FA cingulum cingulate gyrus,0.05917959111016514
FA superior fronto-occipital fasciculus,0.15086861253857434
FA posterior limb of internal capsule,-0.13798773243859494
FA medial lemniscus,-0.2563917741240266
FA superior corona radiata,-0.012236440509493816
V Cerebellum,0.04626520766949628
Crus I Cerebellum,0.06868327489420656
VIIIa Cerebellum,0.06011265875251728
VIIIb Cerebellum,-0.09827555286046397
I-IV Cerebellum,0.05580638107474482
IX Cerebellum,-0.07218298171826408
Crus II Cerebellum,0.2798966170017313
VIIb Cerebellum,0.2931990808534088
VI Cerebellum,0.20302510959915268
