,Pattern 1
"Middle Temporal Gyrus, anterior division",-0.14477932676689353
Superior Frontal Gyrus,-0.010065401288392284
Frontal Pole,-0.20091216644455145
Planum Temporale,0.08810903682782356
"Inferior Temporal Gyrus, temporooccipital part",0.07909474767561975
Central Opercular Cortex,0.0338101898421111
Precuneous Cortex,-0.09973001538415584
Occipital Pole,0.24766760547367306
Lingual Gyrus,0.016568663052668336
"Inferior Frontal Gyrus, pars opercularis",0.0138610372962999
Putamen,-0.037340836873287375
"Inferior Frontal Gyrus, pars triangularis",0.012828930714323072
Middle Frontal Gyrus,0.08503156493203201
Thalamus,-0.0153694603064944
Frontal Operculum Cortex,0.0020620517896785045
Precentral Gyrus,0.028093234168722624
Parietal Operculum Cortex,0.07299991744383699
Caudate,0.024703555837866133
Pallidum,-0.03458186581581201
Occipital Fusiform Gyrus,-0.11723002803467095
Superior Parietal Lobule,-0.05178000989027772
Angular Gyrus,-0.05609606369099453
"Lateral Occipital Cortex, inferior division",0.0649682003395463
"Inferior Temporal Gyrus, anterior division",-0.15889263442146093
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.003080610907954015
Cuneal Cortex,-0.2425869505354522
Temporal Pole,-0.25911829116147883
Subcallosal Cortex,0.06394086801014295
Planum Polare,-0.016355226551416725
Paracingulate Gyrus,-0.08844385916739156
Insular Cortex,0.05390310460879018
Temporal Occipital Fusiform Cortex,0.07825269471699517
Hippocampus,-0.06898466499261181
"Middle Temporal Gyrus, temporooccipital part",0.07788411837867518
"Temporal Fusiform Cortex, anterior division",-0.1886372622423156
"Lateral Occipital Cortex, superior division",0.16644918137616624
Supracalcarine Cortex,-0.19583135829972145
Heschl's Gyrus (includes H1 and H2),0.07198847950354059
"Supramarginal Gyrus, posterior division",-0.07177682359553353
Postcentral Gyrus,-0.04476043248311862
Intracalcarine Cortex,-0.1599549226774143
Frontal Orbital Cortex,0.020780949729727983
"Parahippocampal Gyrus, posterior division",-0.10025526462517273
Amygdala,-0.18026114231182375
"Inferior Temporal Gyrus, posterior division",-0.11042060040138037
Frontal Medial Cortex,-0.11074827480109148
"Cingulate Gyrus, posterior division",-0.0385315565198052
"Superior Temporal Gyrus, posterior division",0.04495852213194053
"Middle Temporal Gyrus, posterior division",0.014041959702004352
Ventral Striatum,-0.09964708404699003
"Supramarginal Gyrus, anterior division",-0.055517080328203273
"Cingulate Gyrus, anterior division",0.06814041342857226
"Superior Temporal Gyrus, anterior division",-0.09935498111131674
"Parahippocampal Gyrus, anterior division",-0.16265270143208158
"Temporal Fusiform Cortex, posterior division",-0.055592865278345206
FA anterior corona radiata,-0.18574742971281968
FA cingulum hippocampus,-0.015533015547983187
FA fornix cres+stria terminalis,-0.16485778467437034
FA corticospinal tract,0.04323312268006305
FA inferior cerebellar peduncle,-0.04446185800788008
FA posterior corona radiata,-0.05455262989434166
FA tapetum,-0.11803928247771933
FA superior cerebellar peduncle,-0.023564815962494868
FA uncinate fasciculus,-0.18480312630639045
FA cerebral peduncle,-0.02857396885156732
FA posterior thalamic radiation,-0.043206777765743734
FA anterior limb of internal capsule,-0.15313856413138244
FA superior longitudinal fasciculus,0.034803439641254555
FA external capsule,0.03262303408043179
FA retrolenticular part of internal capsule,0.22140028020697106
FA sagittal stratum,0.12308405851440385
FA cingulum cingulate gyrus,0.09166284975264764
FA superior fronto-occipital fasciculus,-0.04586283719381532
FA posterior limb of internal capsule,-0.019182832988343442
FA medial lemniscus,-0.018412516755962803
FA superior corona radiata,0.06153784219052452
V Cerebellum,0.2221074426111764
Crus I Cerebellum,-0.11172594634834744
VIIIa Cerebellum,-0.06256089424543075
VIIIb Cerebellum,-0.0378022521956673
I-IV Cerebellum,0.2464983464123753
IX Cerebellum,-0.005747855514412726
Crus II Cerebellum,-0.0649086157979305
VIIb Cerebellum,-0.051290996924888865
VI Cerebellum,0.010102806228759248
