,Pattern 42
"Middle Temporal Gyrus, anterior division",0.18626289984950614
Superior Frontal Gyrus,-0.07641288475488325
Frontal Pole,0.05345276918330685
Planum Temporale,-0.034602967471343726
"Inferior Temporal Gyrus, temporooccipital part",0.1998552333112361
Central Opercular Cortex,0.03957668609774122
Precuneous Cortex,0.284130183213588
Occipital Pole,-0.032955905552717546
Lingual Gyrus,0.09109611521505577
"Inferior Frontal Gyrus, pars opercularis",0.08326267991894283
Putamen,-0.022086457356462724
"Inferior Frontal Gyrus, pars triangularis",-0.024461557184480717
Middle Frontal Gyrus,0.016815256383797772
Thalamus,-0.0067191236374224425
Frontal Operculum Cortex,-0.08468763956004671
Precentral Gyrus,-0.03710308310631144
Parietal Operculum Cortex,0.010759562565631792
Caudate,-0.06769063895156732
Pallidum,0.2929864536850665
Occipital Fusiform Gyrus,0.05809722939084853
Superior Parietal Lobule,0.12765210072225652
Angular Gyrus,-0.1857514553891596
"Lateral Occipital Cortex, inferior division",0.01813767135815476
"Inferior Temporal Gyrus, anterior division",0.10445439054498863
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.0309549978554955
Cuneal Cortex,-0.10053101145864224
Temporal Pole,0.047848484501480916
Subcallosal Cortex,0.0322692006167079
Planum Polare,-0.09388792265495696
Paracingulate Gyrus,-0.0703124856751508
Insular Cortex,-0.2617883691269395
Temporal Occipital Fusiform Cortex,0.07107174301183289
Hippocampus,-0.004557189261684289
"Middle Temporal Gyrus, temporooccipital part",-0.13695777454034996
"Temporal Fusiform Cortex, anterior division",0.030303756871451218
"Lateral Occipital Cortex, superior division",-0.047015808086426435
Supracalcarine Cortex,-0.0214547422884013
Heschl's Gyrus (includes H1 and H2),-0.01645879575551439
"Supramarginal Gyrus, posterior division",-0.024712675959205618
Postcentral Gyrus,-0.16209974390773255
Intracalcarine Cortex,0.0979452136828682
Frontal Orbital Cortex,0.10087092768300893
"Parahippocampal Gyrus, posterior division",-0.03852773704234487
Amygdala,-0.0277309159810126
"Inferior Temporal Gyrus, posterior division",0.04996045037978385
Frontal Medial Cortex,0.09275416201692653
"Cingulate Gyrus, posterior division",0.1212262523946238
"Superior Temporal Gyrus, posterior division",-0.0111680211778791
"Middle Temporal Gyrus, posterior division",0.09654385660136458
Ventral Striatum,-0.05093554568034668
"Supramarginal Gyrus, anterior division",0.11076731603243804
"Cingulate Gyrus, anterior division",0.013820552216862734
"Superior Temporal Gyrus, anterior division",0.008466463540392918
"Parahippocampal Gyrus, anterior division",-0.01083074444245602
"Temporal Fusiform Cortex, posterior division",-0.1421807814927507
FA anterior corona radiata,0.13371167527835393
FA cingulum hippocampus,0.17367302966473652
FA fornix cres+stria terminalis,0.1970127057209601
FA corticospinal tract,-0.0008318041456635977
FA inferior cerebellar peduncle,-0.07170402234178913
FA posterior corona radiata,-0.2000845788089685
FA tapetum,-0.24452572237475464
FA superior cerebellar peduncle,0.07143424559160395
FA uncinate fasciculus,-0.23038008639960444
FA cerebral peduncle,-0.01858711840341609
FA posterior thalamic radiation,-0.0905196249830632
FA anterior limb of internal capsule,-0.18095003106355856
FA superior longitudinal fasciculus,0.08301701233269751
FA external capsule,-0.13871785715598606
FA retrolenticular part of internal capsule,0.11009446031633488
FA sagittal stratum,0.11267476508321354
FA cingulum cingulate gyrus,-0.04940512880629574
FA superior fronto-occipital fasciculus,0.09994391159776844
FA posterior limb of internal capsule,-0.06952388560755163
FA medial lemniscus,0.0041268136448453785
FA superior corona radiata,0.11098991975849183
V Cerebellum,-0.008221190978964288
Crus I Cerebellum,-0.01992307596043244
VIIIa Cerebellum,0.06157453327650377
VIIIb Cerebellum,-0.019448263785111
I-IV Cerebellum,0.0115863241697172
IX Cerebellum,-0.1155655593728305
Crus II Cerebellum,-0.11815317959635532
VIIb Cerebellum,0.02188158727040632
VI Cerebellum,0.05059474424728501
