,Pattern 49
"Middle Temporal Gyrus, anterior division",-0.02389116216452426
Superior Frontal Gyrus,-0.07486552735585872
Frontal Pole,0.07360656895388461
Planum Temporale,-0.048750634796848484
"Inferior Temporal Gyrus, temporooccipital part",-0.15899699549490914
Central Opercular Cortex,0.08755221798345443
Precuneous Cortex,-0.11667308407586495
Occipital Pole,0.30967614649201725
Lingual Gyrus,0.038545194638593565
"Inferior Frontal Gyrus, pars opercularis",-0.014051723374681007
Putamen,-0.09859383347890473
"Inferior Frontal Gyrus, pars triangularis",-0.002712625056385278
Middle Frontal Gyrus,-0.010567606734948918
Thalamus,0.08031792706571947
Frontal Operculum Cortex,-0.036326593353824634
Precentral Gyrus,-0.039055783125282885
Parietal Operculum Cortex,-0.05161095514009345
Caudate,-0.11905251319067048
Pallidum,0.11503092301516996
Occipital Fusiform Gyrus,-0.05275468701588284
Superior Parietal Lobule,0.03864330397897652
Angular Gyrus,-0.20262756030869
"Lateral Occipital Cortex, inferior division",-0.09437888163638862
"Inferior Temporal Gyrus, anterior division",0.01838581098000034
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.1142261204028548
Cuneal Cortex,0.2959986099827875
Temporal Pole,-0.021871631391915797
Subcallosal Cortex,0.182298206095422
Planum Polare,-0.026066371334748074
Paracingulate Gyrus,-0.07816782349118517
Insular Cortex,0.0040384898392419885
Temporal Occipital Fusiform Cortex,-0.03375281398650262
Hippocampus,0.09778731781085626
"Middle Temporal Gyrus, temporooccipital part",0.16241081141143054
"Temporal Fusiform Cortex, anterior division",-0.0749796881291905
"Lateral Occipital Cortex, superior division",0.0046275450644613905
Supracalcarine Cortex,-0.0698067829611089
Heschl's Gyrus (includes H1 and H2),0.11339291480313922
"Supramarginal Gyrus, posterior division",0.10811168375167113
Postcentral Gyrus,-0.32230920162996185
Intracalcarine Cortex,-0.0549217608366202
Frontal Orbital Cortex,-0.04984350943944717
"Parahippocampal Gyrus, posterior division",-0.02659627167993181
Amygdala,0.05058447929566179
"Inferior Temporal Gyrus, posterior division",-0.017954704035754332
Frontal Medial Cortex,-0.016394915813474933
"Cingulate Gyrus, posterior division",0.055522603927171066
"Superior Temporal Gyrus, posterior division",-0.06354663860087494
"Middle Temporal Gyrus, posterior division",-0.0006430490432949992
Ventral Striatum,-0.00262931301474632
"Supramarginal Gyrus, anterior division",0.1465580800857882
"Cingulate Gyrus, anterior division",0.07630466601803301
"Superior Temporal Gyrus, anterior division",-0.027042652633919726
"Parahippocampal Gyrus, anterior division",-0.05860162729798544
"Temporal Fusiform Cortex, posterior division",-0.035549264060586644
FA anterior corona radiata,0.2438589419497831
FA cingulum hippocampus,-0.03997984748049711
FA fornix cres+stria terminalis,-0.02829111538950184
FA corticospinal tract,-0.1435608244305807
FA inferior cerebellar peduncle,0.10103944392397088
FA posterior corona radiata,-0.046536314775443684
FA tapetum,0.2300156614778997
FA superior cerebellar peduncle,0.13841987556720667
FA uncinate fasciculus,0.002772204197936938
FA cerebral peduncle,0.06872353512456034
FA posterior thalamic radiation,0.08253018705273663
FA anterior limb of internal capsule,-0.08338606991041356
FA superior longitudinal fasciculus,-0.038939503789141135
FA external capsule,-0.10680743168522963
FA retrolenticular part of internal capsule,0.005994709946784086
FA sagittal stratum,0.012555806101609585
FA cingulum cingulate gyrus,0.048484483669734985
FA superior fronto-occipital fasciculus,-0.24790980337702126
FA posterior limb of internal capsule,-0.02459866996311752
FA medial lemniscus,-0.06098351683071882
FA superior corona radiata,0.11149558278604504
V Cerebellum,-0.031215749165645568
Crus I Cerebellum,-0.0847810704920316
VIIIa Cerebellum,-0.0943646573246249
VIIIb Cerebellum,-0.00696164690367454
I-IV Cerebellum,-0.10079688141561398
IX Cerebellum,0.16712079758035164
Crus II Cerebellum,0.11787793402591006
VIIb Cerebellum,-0.011826284752336295
VI Cerebellum,0.1527988248952905
