,Pattern 48
"Middle Temporal Gyrus, anterior division",-0.07062640897043447
Superior Frontal Gyrus,0.2578636111032197
Frontal Pole,-0.08943060832646976
Planum Temporale,-0.03818761605206823
"Inferior Temporal Gyrus, temporooccipital part",-0.06456768780641586
Central Opercular Cortex,-0.0914159614384438
Precuneous Cortex,0.2506544919133841
Occipital Pole,0.021183311494001985
Lingual Gyrus,-0.00887700801175128
"Inferior Frontal Gyrus, pars opercularis",-0.32053312000940626
Putamen,-0.054164662720395836
"Inferior Frontal Gyrus, pars triangularis",0.0652688253940939
Middle Frontal Gyrus,0.022062375579427487
Thalamus,0.0014732913848338222
Frontal Operculum Cortex,0.023703607493824948
Precentral Gyrus,0.019937283435710454
Parietal Operculum Cortex,0.06793330943774864
Caudate,0.03562405763678712
Pallidum,0.05673897670425045
Occipital Fusiform Gyrus,0.11034185629683113
Superior Parietal Lobule,0.034651939654164896
Angular Gyrus,0.10158650644672064
"Lateral Occipital Cortex, inferior division",-0.15191152897276955
"Inferior Temporal Gyrus, anterior division",0.005081755749885314
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.2951942132255929
Cuneal Cortex,-0.07574855093480577
Temporal Pole,-0.10519657300318157
Subcallosal Cortex,0.03829802032032825
Planum Polare,0.072780404870625
Paracingulate Gyrus,-0.16084169107417035
Insular Cortex,-0.03253427569726687
Temporal Occipital Fusiform Cortex,-0.07492254133139957
Hippocampus,0.01238199171450334
"Middle Temporal Gyrus, temporooccipital part",0.07309333764272166
"Temporal Fusiform Cortex, anterior division",0.07071908250998926
"Lateral Occipital Cortex, superior division",-0.024650880351818498
Supracalcarine Cortex,-0.10443908559243474
Heschl's Gyrus (includes H1 and H2),0.043631612723356514
"Supramarginal Gyrus, posterior division",-0.1230280145564722
Postcentral Gyrus,0.14567460546822286
Intracalcarine Cortex,0.040495443438323286
Frontal Orbital Cortex,-0.14803948847178014
"Parahippocampal Gyrus, posterior division",-0.04357673977498885
Amygdala,-0.06965409546187777
"Inferior Temporal Gyrus, posterior division",-0.031532108832175464
Frontal Medial Cortex,-0.05650649607149505
"Cingulate Gyrus, posterior division",-0.2971518149636781
"Superior Temporal Gyrus, posterior division",-0.09008358267829758
"Middle Temporal Gyrus, posterior division",0.05381351011328005
Ventral Striatum,0.1078786337037817
"Supramarginal Gyrus, anterior division",-0.01738723387678657
"Cingulate Gyrus, anterior division",0.016408652054637332
"Superior Temporal Gyrus, anterior division",0.0325602520066382
"Parahippocampal Gyrus, anterior division",0.028302364610050295
"Temporal Fusiform Cortex, posterior division",-0.08435195595921582
FA anterior corona radiata,0.2669298314391724
FA cingulum hippocampus,0.109025379590449
FA fornix cres+stria terminalis,-0.01863440099207314
FA corticospinal tract,-0.15110364964518433
FA inferior cerebellar peduncle,0.016260602572153244
FA posterior corona radiata,-0.24673914199682115
FA tapetum,0.12088837606121595
FA superior cerebellar peduncle,0.1103548793635089
FA uncinate fasciculus,-0.04972041163343476
FA cerebral peduncle,-0.11248836106406472
FA posterior thalamic radiation,0.0478577364946142
FA anterior limb of internal capsule,0.0665489092774361
FA superior longitudinal fasciculus,0.1297317485287349
FA external capsule,0.02893452069642613
FA retrolenticular part of internal capsule,0.03202812798879303
FA sagittal stratum,-0.2128373296749836
FA cingulum cingulate gyrus,0.06711786505275108
FA superior fronto-occipital fasciculus,-0.1088498886752756
FA posterior limb of internal capsule,-0.022599690917838196
FA medial lemniscus,0.058247633149584685
FA superior corona radiata,-0.004952585792530648
V Cerebellum,-0.010563037894486718
Crus I Cerebellum,-0.038382772801232534
VIIIa Cerebellum,0.016813930164730942
VIIIb Cerebellum,-0.02617459760977764
I-IV Cerebellum,0.031125849945751776
IX Cerebellum,-0.086265202023736
Crus II Cerebellum,-0.0661905593106017
VIIb Cerebellum,-0.005636342680255709
VI Cerebellum,0.040420724787003766
