,Pattern 60
"Middle Temporal Gyrus, anterior division",0.08680980437513285
Superior Frontal Gyrus,0.047677622005361985
Frontal Pole,0.175666892974164
Planum Temporale,0.03140792210223307
"Inferior Temporal Gyrus, temporooccipital part",0.08413319728790658
Central Opercular Cortex,0.011792480663290826
Precuneous Cortex,0.11429820252053476
Occipital Pole,0.10614936135346596
Lingual Gyrus,-0.11747054721961114
"Inferior Frontal Gyrus, pars opercularis",0.04976050554337132
Putamen,-0.08948329748404098
"Inferior Frontal Gyrus, pars triangularis",-0.20175027880162447
Middle Frontal Gyrus,-0.015694222055887025
Thalamus,-0.021468838265400827
Frontal Operculum Cortex,-0.14337767478800728
Precentral Gyrus,-0.17731411295430516
Parietal Operculum Cortex,-0.006803686537919351
Caudate,-0.028901667833057018
Pallidum,0.014489025677429669
Occipital Fusiform Gyrus,-0.04898949154523344
Superior Parietal Lobule,-0.048018523379712186
Angular Gyrus,0.02966089408546397
"Lateral Occipital Cortex, inferior division",0.07692863194820249
"Inferior Temporal Gyrus, anterior division",-0.01502020071344311
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.007492798249520319
Cuneal Cortex,-0.057731879442191276
Temporal Pole,0.10225183263841164
Subcallosal Cortex,0.09090254237797024
Planum Polare,-0.030342941515424673
Paracingulate Gyrus,0.04505760619061259
Insular Cortex,0.2016562816361912
Temporal Occipital Fusiform Cortex,0.11083842198681418
Hippocampus,-0.1356204302289159
"Middle Temporal Gyrus, temporooccipital part",-0.21895823373024914
"Temporal Fusiform Cortex, anterior division",-0.04023914081712614
"Lateral Occipital Cortex, superior division",-0.03445715327874917
Supracalcarine Cortex,-0.07821624216056099
Heschl's Gyrus (includes H1 and H2),-0.2545554823633688
"Supramarginal Gyrus, posterior division",-0.051211103164036265
Postcentral Gyrus,0.12228116506182372
Intracalcarine Cortex,0.05478477945953425
Frontal Orbital Cortex,-0.34508375372485545
"Parahippocampal Gyrus, posterior division",0.09985838148588712
Amygdala,0.022029296887496108
"Inferior Temporal Gyrus, posterior division",-0.02026161846721912
Frontal Medial Cortex,-0.12283632569875852
"Cingulate Gyrus, posterior division",-0.0021115452427875217
"Superior Temporal Gyrus, posterior division",0.08371634037920815
"Middle Temporal Gyrus, posterior division",-0.16282013857276098
Ventral Striatum,0.0447790679733672
"Supramarginal Gyrus, anterior division",-0.12929646610264084
"Cingulate Gyrus, anterior division",0.10902868938645308
"Superior Temporal Gyrus, anterior division",-0.1655612613145452
"Parahippocampal Gyrus, anterior division",-0.012953971136460407
"Temporal Fusiform Cortex, posterior division",-0.003938619478678851
FA anterior corona radiata,-0.02096816034195512
FA cingulum hippocampus,0.09833861742021792
FA fornix cres+stria terminalis,0.036557057547708334
FA corticospinal tract,0.030632153987970017
FA inferior cerebellar peduncle,0.06977095254173125
FA posterior corona radiata,-0.10066555305356924
FA tapetum,0.16054454715360866
FA superior cerebellar peduncle,0.1060763278584992
FA uncinate fasciculus,-0.0709419450863445
FA cerebral peduncle,0.10211454011413984
FA posterior thalamic radiation,-0.19825451567029592
FA anterior limb of internal capsule,-0.07896698734051744
FA superior longitudinal fasciculus,0.11451701130022288
FA external capsule,0.10890659616564813
FA retrolenticular part of internal capsule,-0.18817463803726375
FA sagittal stratum,0.05649655381084091
FA cingulum cingulate gyrus,-0.050277023908214986
FA superior fronto-occipital fasciculus,-0.07477471913020409
FA posterior limb of internal capsule,-0.03935278206021242
FA medial lemniscus,-0.14386159059317608
FA superior corona radiata,0.1319033648877469
V Cerebellum,0.005768426261176574
Crus I Cerebellum,-0.18427601141646616
VIIIa Cerebellum,-0.01953390479619257
VIIIb Cerebellum,-0.0025959460224661557
I-IV Cerebellum,-0.005702917939721568
IX Cerebellum,0.13782448807275274
Crus II Cerebellum,0.0820112908700587
VIIb Cerebellum,0.07527850894805467
VI Cerebellum,-0.1353593180428149
