i,phesid,p_Asymmetry Pattern 62,-logp_Asymmetry Pattern 62,Category
0,1677,0.009401292565075837,2.0268124320079126,early life factors
1,1777,0.15486420395824238,0.8100489555136245,early life factors
2,1787,0.06955654712439752,1.1576619850655356,early life factors
3,1767,0.7682291028843589,0.11450924444671459,early life factors
4,1697,0.6379137535285507,0.19523803428602568,early life factors
5,1687,0.2756026944777597,0.5597165407879883,early life factors
6,20022,0.5170222619796768,0.28649075662215284,early life factors
7,130,0.02494097592348076,1.6030865568763175,early life factors
8,129,0.498769744371127,0.30209989892082684,early life factors
9,10722#4,0.05345884591023859,1.2719804211916246,lifestyle - general
10,10722#5,0.8156936608397384,0.08847291279767894,lifestyle - general
11,10722#2,0.27127501015239697,0.5665902115933215,lifestyle - general
12,10722#100,0.7345313233074616,0.1339896794523126,lifestyle - general
13,10722#3,0.16818080652698747,0.7742235691507529,lifestyle - general
14,10721#1,0.6240600588877844,0.20477361225923998,lifestyle - general
15,10860#1,0.21484428121854035,0.6678762019907174,lifestyle - general
16,10721#6,0.8428448558092252,0.07425235949957626,lifestyle - general
17,10721#2,0.46751083779560976,0.3302083168978321,lifestyle - general
18,10721#3,0.9726464976069892,0.012044972716177745,lifestyle - general
19,10721#100,0.2957364634972982,0.5290951248503921,lifestyle - general
20,10114,0.7275370454870314,0.13814488792146284,lifestyle - general
21,10105,0.5114532977715216,0.2911940167829439,lifestyle - general
22,6160#4,0.15644235333901182,0.805645659643586,lifestyle - general
23,6160#3,0.3937257484391934,0.4048061827728792,lifestyle - general
24,6160#5,0.12366266061201443,0.9077614138561793,lifestyle - general
25,10722#1,0.19622577338136,0.7072439505637078,lifestyle - general
26,10860#100,0.3921129547939967,0.4065888090575958,lifestyle - general
27,20107#11,0.39880999435040504,0.39923396661704347,lifestyle - general
28,10860#3,0.8012557263066,0.09622885370467496,lifestyle - general
29,20110#3,0.08945007459410559,1.0484192929300913,lifestyle - general
30,20110#9,0.3783292634215264,0.42213006512817763,lifestyle - general
31,20110#12,0.15034564076310558,0.8229091596484296,lifestyle - general
32,20110#11,0.4845693003000691,0.3146441038852883,lifestyle - general
33,20110#1,0.34810408865820863,0.458290875677877,lifestyle - general
34,20110#8,0.741968580294004,0.1296144851439513,lifestyle - general
35,20110#100,0.1352283689171548,0.8689321902600508,lifestyle - general
36,20107#101,0.3506521510583632,0.4551234925989017,lifestyle - general
37,20107#12,0.041724855908043146,1.3796051544318146,lifestyle - general
38,10860#2,0.30961554619498827,0.5091772409568736,lifestyle - general
39,20107#9,0.05289039128048274,1.2766232200801655,lifestyle - general
40,20107#3,0.06023856403057626,1.2201253894140949,lifestyle - general
41,20107#4,0.7856058762422048,0.10479527673584779,lifestyle - general
42,20107#6,0.4383528337816121,0.3581761815546328,lifestyle - general
43,20107#13,0.46132375163101225,0.3359941848091689,lifestyle - general
44,20107#8,0.4976406006237193,0.30308419441946094,lifestyle - general
45,20107#1,0.5979972259923388,0.2233008306253254,lifestyle - general
46,20107#2,0.30280880552452916,0.5188314999278764,lifestyle - general
