,Pattern 9
"Middle Temporal Gyrus, anterior division",0.04138076589964698
Superior Frontal Gyrus,0.09634269090814576
Frontal Pole,0.1467951699193607
Planum Temporale,-0.11641231573621967
"Inferior Temporal Gyrus, temporooccipital part",-0.006410666745692913
Central Opercular Cortex,-0.039530819729591715
Precuneous Cortex,-0.06382798505351102
Occipital Pole,0.07265118909394269
Lingual Gyrus,0.14516297799439154
"Inferior Frontal Gyrus, pars opercularis",-0.17701154325328303
Putamen,-0.024912288803769028
"Inferior Frontal Gyrus, pars triangularis",-0.16360015261351296
Middle Frontal Gyrus,-0.14599738273923135
Thalamus,0.06287031301423598
Frontal Operculum Cortex,-0.14746560656552588
Precentral Gyrus,0.08793953019585471
Parietal Operculum Cortex,-0.017409948529153785
Caudate,-0.046831591912797885
Pallidum,0.04605855974782936
Occipital Fusiform Gyrus,-0.26991643038650553
Superior Parietal Lobule,-0.007955727340929378
Angular Gyrus,0.10995271924237238
"Lateral Occipital Cortex, inferior division",-0.04150744076939631
"Inferior Temporal Gyrus, anterior division",0.016908355072009967
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.040742294234626934
Cuneal Cortex,-0.11948585403879965
Temporal Pole,0.0321256704672456
Subcallosal Cortex,0.042433326022644983
Planum Polare,-0.008839966706095922
Paracingulate Gyrus,0.13393067143920515
Insular Cortex,0.05026340861937889
Temporal Occipital Fusiform Cortex,-0.2660915699675239
Hippocampus,0.09047278205985633
"Middle Temporal Gyrus, temporooccipital part",0.07488635244704217
"Temporal Fusiform Cortex, anterior division",0.006166926023976951
"Lateral Occipital Cortex, superior division",-0.1641027005820905
Supracalcarine Cortex,-0.14279149169904895
Heschl's Gyrus (includes H1 and H2),-0.07967775457075067
"Supramarginal Gyrus, posterior division",0.20460053196196806
Postcentral Gyrus,0.07759893240870508
Intracalcarine Cortex,-0.03784532464978565
Frontal Orbital Cortex,0.15237708275901482
"Parahippocampal Gyrus, posterior division",0.14378898592011075
Amygdala,0.044722126685479764
"Inferior Temporal Gyrus, posterior division",0.028382047267111243
Frontal Medial Cortex,0.039558337495292965
"Cingulate Gyrus, posterior division",0.14284088615895707
"Superior Temporal Gyrus, posterior division",-0.08931129183506288
"Middle Temporal Gyrus, posterior division",0.04469884243739872
Ventral Striatum,0.093932381672906
"Supramarginal Gyrus, anterior division",0.1618688887587892
"Cingulate Gyrus, anterior division",-0.196145837382776
"Superior Temporal Gyrus, anterior division",-0.043308351922510605
"Parahippocampal Gyrus, anterior division",0.023803269830560726
"Temporal Fusiform Cortex, posterior division",-0.04139539731138861
FA anterior corona radiata,0.12776834862040426
FA cingulum hippocampus,0.004057170496528692
FA fornix cres+stria terminalis,0.034842669425656475
FA corticospinal tract,0.028703521522339338
FA inferior cerebellar peduncle,0.0043096122692367215
FA posterior corona radiata,-0.02113398757501566
FA tapetum,-0.038762051052585
FA superior cerebellar peduncle,-0.04095806789034311
FA uncinate fasciculus,0.018041554858241292
FA cerebral peduncle,0.09291936492703594
FA posterior thalamic radiation,0.0017592595842354161
FA anterior limb of internal capsule,0.113842047832541
FA superior longitudinal fasciculus,-0.02262786826828744
FA external capsule,0.029190028507324862
FA retrolenticular part of internal capsule,0.03350185472270918
FA sagittal stratum,-0.007186126363260742
FA cingulum cingulate gyrus,0.048303049420472366
FA superior fronto-occipital fasciculus,0.08795011693872085
FA posterior limb of internal capsule,0.05722894773866539
FA medial lemniscus,0.023499193685304204
FA superior corona radiata,0.04071603721102482
V Cerebellum,0.2726659290013229
Crus I Cerebellum,-0.16680505980204646
VIIIa Cerebellum,-0.11818258803159455
VIIIb Cerebellum,-0.16282088679554085
I-IV Cerebellum,0.23383463969980134
IX Cerebellum,-0.14579341912793098
Crus II Cerebellum,0.031556029449497286
VIIb Cerebellum,-0.005355544713328907
VI Cerebellum,-0.22782419984422214
