i,phesid,p_Asymmetry Pattern 29,-logp_Asymmetry Pattern 29,Category
0,1677,0.488972668367653,0.3107154155365962,early life factors
1,1777,0.5262222562528123,0.2788307876388042,early life factors
2,1787,0.11453047704699967,0.9410789303363141,early life factors
3,1767,0.014627363516563663,1.8348339454667608,early life factors
4,1697,0.2081055229308776,0.6817163938557649,early life factors
5,1687,0.24808407289445875,0.6054011167277241,early life factors
6,20022,0.20729035807463606,0.6834208982552292,early life factors
7,130,0.17848521435025425,0.7483977548574392,early life factors
8,129,0.9175069774369664,0.0373906243501509,early life factors
9,10722#4,0.7623541127993547,0.11784325239830112,lifestyle - general
10,10722#5,0.5697831487492596,0.24429039910045386,lifestyle - general
11,10722#2,0.6492729887472292,0.18757266440283196,lifestyle - general
12,10722#100,0.4678769185482161,0.3298683790317932,lifestyle - general
13,10722#3,0.8175095510108049,0.08750716475078493,lifestyle - general
14,10721#1,0.6385235570334837,0.194823075689635,lifestyle - general
15,10860#1,0.9783064832324392,0.00952506839736574,lifestyle - general
16,10721#6,0.6748055581934703,0.17082134890032172,lifestyle - general
17,10721#2,0.28934892569556553,0.5385781257606171,lifestyle - general
18,10721#3,0.09882962243730926,1.0051128637841977,lifestyle - general
19,10721#100,0.5857915810482551,0.23225687425660543,lifestyle - general
20,10114,0.5120532216692922,0.29068489707876444,lifestyle - general
21,10105,0.9677611836642792,0.01423180117602409,lifestyle - general
22,6160#4,0.2374821471139662,0.6243690332025555,lifestyle - general
23,6160#3,0.8329935122575436,0.07935838106826781,lifestyle - general
24,6160#5,0.15815566959496077,0.8009152347968101,lifestyle - general
25,10722#1,0.14412334580433403,0.8412656643437147,lifestyle - general
26,10860#100,0.7581896884387715,0.12022212637831785,lifestyle - general
27,20107#11,0.4900783904048395,0.30973444691573515,lifestyle - general
28,10860#3,0.383326935746523,0.4164306625221411,lifestyle - general
29,20110#3,0.029416628816681716,1.531407099460375,lifestyle - general
30,20110#9,0.33355519018652663,0.4768322972484491,lifestyle - general
31,20110#12,0.3363454681138542,0.47321441958339444,lifestyle - general
32,20110#11,0.25119482946812194,0.5999893042524121,lifestyle - general
33,20110#1,0.8629106191608976,0.06403418645804294,lifestyle - general
34,20110#8,0.6682399377281429,0.17506757207317472,lifestyle - general
35,20110#100,0.588752065797206,0.2300675560197297,lifestyle - general
36,20107#101,0.4284216592158538,0.368128581163834,lifestyle - general
37,20107#12,0.7444900695441611,0.12814109075389568,lifestyle - general
38,10860#2,0.02733681937979872,1.56325201669422,lifestyle - general
39,20107#9,0.03875205076197381,1.4117053096469026,lifestyle - general
40,20107#3,0.8265607024462692,0.08272524642478771,lifestyle - general
41,20107#4,0.8880458224475003,0.05156462439857845,lifestyle - general
42,20107#6,0.8458072612806922,0.07272859074196834,lifestyle - general
43,20107#13,0.47043510903428754,0.3275002738986102,lifestyle - general
44,20107#8,0.721694664945771,0.1416465051680384,lifestyle - general
45,20107#1,0.6813388093737124,0.16663687274148506,lifestyle - general
46,20107#2,0.2500711648908452,0.6019363828426993,lifestyle - general
47,20107#100,0.701508786278295,0.15396688513699894,lifestyle - general
48,6160#2,0.16620658947360145,0.7793517620483357,lifestyle - general
49,20107#10,0.6858233117139172,0.1637877569337433,lifestyle - general
50,6160#1,0.13370343634684204,0.8738574306789795,lifestyle - general
51,6146#3,0.22789351463942972,0.6422680337331172,lifestyle - general
52,6146#1,0.6645942917244857,0.17744339324569708,lifestyle - general
53,6139#3,0.10491796813949732,0.979150128626374,lifestyle - general
54,6139#2,0.3889975872773912,0.41005309233846937,lifestyle - general
55,6139#1,0.8244866689231001,0.08381636204486105,lifestyle - general
56,6139#100,0.31490594086883666,0.501819146088715,lifestyle - general
57,6142#7,0.06971056241491753,1.1567014134231555,lifestyle - general
58,6142#100,0.9788444600924939,0.009286312783349652,lifestyle - general
59,6142#4,0.8724668178630118,0.05925108138084935,lifestyle - general
60,6142#6,0.5908116937529371,0.2285509174187982,lifestyle - general
61,6142#5,0.5386130496312809,0.268723128618158,lifestyle - general
62,6140#1,0.7327354215449284,0.13505281349761397,lifestyle - general
63,6142#3,0.8149607642228139,0.08886329959340467,lifestyle - general
64,6142#1,0.19800245054271914,0.703329434735465,lifestyle - general
65,6138#2,0.4186552776714891,0.3781434295980315,lifestyle - general
66,6138#4,0.14497242466340954,0.8387145974575156,lifestyle - general
67,6138#1,0.31442686757498917,0.5024803508609523,lifestyle - general
68,6138#3,0.3030349517123781,0.5185072775689774,lifestyle - general
69,4501,0.21968189832127422,0.6582057272536592,lifestyle - general
70,2159,0.9650852451747188,0.015434324092578814,lifestyle - general
71,1835,0.3981475016483023,0.39995600510100743,lifestyle - general
72,1797,0.2601600058421952,0.5847594663334386,lifestyle - general
73,6142#2,0.6648986637783901,0.17724453983286995,lifestyle - general
74,6160#100,0.8776573086267694,0.056675026263145085,lifestyle - general
75,6140#3,0.5511676721538765,0.2587162631920783,lifestyle - general
76,6140#100,0.08872841745840102,1.0519372643980311,lifestyle - general
77,20110#5,0.1435118360557525,0.8431122792664213,lifestyle - general
78,6146#2,0.5544417852365897,0.2561440467695629,lifestyle - general
79,6146#100,0.629923774952415,0.2007119999438461,lifestyle - general
80,6145#4,0.45539610624169047,0.34161068703878794,lifestyle - general
81,6145#2,0.7409331062310948,0.13022099972121762,lifestyle - general
82,6145#6,0.8721778565447292,0.05939494369161331,lifestyle - general
83,6145#3,0.1642274834439695,0.7845541620200631,lifestyle - general
84,6145#5,0.8458173422246769,0.07272341453640134,lifestyle - general
85,6145#100,0.39662242737384124,0.40162273186214154,lifestyle - general
86,6140#5,0.7263200553526818,0.13887196381223718,lifestyle - general
87,6145#1,0.6226040724059859,0.20578804295696718,lifestyle - general
88,6141#7,0.1498444827424804,0.8243592430994362,lifestyle - general
89,6141#3,0.11344892270138232,0.945199623772579,lifestyle - general
90,6141#4,0.05238379721100736,1.2808030235126349,lifestyle - general
91,6141#8,0.07345377028808604,1.1339859075212806,lifestyle - general
92,6141#2,0.4805714743446549,0.3182420115229213,lifestyle - general
93,6141#1,0.3684432987596945,0.43362933800983633,lifestyle - general
94,6140#4,0.10669942697624286,0.9718379129253331,lifestyle - general
95,6140#6,0.45967233863527607,0.33755162968346974,lifestyle - general
96,6140#2,0.7438690658803818,0.1285035012415965,lifestyle - general
97,6141#6,0.08302635609240404,1.0807840222199316,lifestyle - general
98,20110#6,0.41384316848970726,0.3831642095160237,lifestyle - general
99,670_1.0,0.5683254723575663,0.2454028784328034,lifestyle - general
100,20110#10,0.35651085581176817,0.44792724127532374,lifestyle - general
101,1845,0.974317794507293,0.011299365616298199,lifestyle - general
