,Pattern 18
"Middle Temporal Gyrus, anterior division",0.1434135149799976
Superior Frontal Gyrus,-0.11369290660283525
Frontal Pole,0.13561318794058366
Planum Temporale,0.19894819021636914
"Inferior Temporal Gyrus, temporooccipital part",-0.009713311368699379
Central Opercular Cortex,-0.08332070351956695
Precuneous Cortex,0.10728249857163592
Occipital Pole,-0.025890421792915768
Lingual Gyrus,0.15471915393594027
"Inferior Frontal Gyrus, pars opercularis",-0.043874204009329176
Putamen,0.09524009627771374
"Inferior Frontal Gyrus, pars triangularis",0.059293463845801586
Middle Frontal Gyrus,-0.03723271488200014
Thalamus,0.11266190454494553
Frontal Operculum Cortex,0.0572442418214606
Precentral Gyrus,0.007168699244594373
Parietal Operculum Cortex,0.2621033043106161
Caudate,0.09826262200846936
Pallidum,-0.011212652800871942
Occipital Fusiform Gyrus,-0.11860274224255545
Superior Parietal Lobule,-0.1042662368870584
Angular Gyrus,-0.11423676322464843
"Lateral Occipital Cortex, inferior division",0.03195691297629108
"Inferior Temporal Gyrus, anterior division",0.27692581509120584
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.010846383786592296
Cuneal Cortex,0.06369229312619501
Temporal Pole,-0.10419714137241287
Subcallosal Cortex,0.1461783122095055
Planum Polare,0.1831979946781828
Paracingulate Gyrus,-0.08774483917714708
Insular Cortex,0.1941356457367514
Temporal Occipital Fusiform Cortex,0.05142059188059528
Hippocampus,-0.07220563830218055
"Middle Temporal Gyrus, temporooccipital part",0.0010640685101704628
"Temporal Fusiform Cortex, anterior division",0.21140977375707626
"Lateral Occipital Cortex, superior division",0.02808376240573669
Supracalcarine Cortex,0.07581368859333845
Heschl's Gyrus (includes H1 and H2),0.08382461470962199
"Supramarginal Gyrus, posterior division",-0.029126362162022624
Postcentral Gyrus,0.05002205643413972
Intracalcarine Cortex,-0.10332933280528156
Frontal Orbital Cortex,-0.00017351299945765616
"Parahippocampal Gyrus, posterior division",-0.14633290641372898
Amygdala,0.1007134385807824
"Inferior Temporal Gyrus, posterior division",0.06554871200507671
Frontal Medial Cortex,0.02352999986031253
"Cingulate Gyrus, posterior division",-0.031144751934595382
"Superior Temporal Gyrus, posterior division",-0.011087928687504729
"Middle Temporal Gyrus, posterior division",-0.1960988608536386
Ventral Striatum,0.16402531678071147
"Supramarginal Gyrus, anterior division",0.11544537284482387
"Cingulate Gyrus, anterior division",0.12272420775192144
"Superior Temporal Gyrus, anterior division",0.18804197656051896
"Parahippocampal Gyrus, anterior division",-0.00501146291940463
"Temporal Fusiform Cortex, posterior division",0.19197562232366905
FA anterior corona radiata,-0.04643044694782578
FA cingulum hippocampus,0.026505898439608048
FA fornix cres+stria terminalis,0.040455055642848486
FA corticospinal tract,-0.0650015834557315
FA inferior cerebellar peduncle,-0.04925254316422703
FA posterior corona radiata,0.09504566342016106
FA tapetum,-0.09385293178170018
FA superior cerebellar peduncle,-0.08914053136018463
FA uncinate fasciculus,0.06710501141293343
FA cerebral peduncle,0.02170256692604024
FA posterior thalamic radiation,-0.09969426906582383
FA anterior limb of internal capsule,0.00869505995189803
FA superior longitudinal fasciculus,0.14669731925306298
FA external capsule,0.039548584147883134
FA retrolenticular part of internal capsule,0.08637465388718554
FA sagittal stratum,0.04489220181062191
FA cingulum cingulate gyrus,0.13806139850177762
FA superior fronto-occipital fasciculus,0.007987767199803028
FA posterior limb of internal capsule,0.0771420320461528
FA medial lemniscus,-0.07376744587490908
FA superior corona radiata,0.13232088061781974
V Cerebellum,0.025443419109959717
Crus I Cerebellum,-0.1472771047405372
VIIIa Cerebellum,-0.1514258062967813
VIIIb Cerebellum,-0.04033208887632342
I-IV Cerebellum,-0.04769413016225802
IX Cerebellum,-0.0035422638468295365
Crus II Cerebellum,-0.1251474480629561
VIIb Cerebellum,-0.20641917033144566
VI Cerebellum,0.01856257231359511
