,Pattern 45
"Middle Temporal Gyrus, anterior division",-0.1135796455075868
Superior Frontal Gyrus,-0.014255462529615124
Frontal Pole,0.06078178104813205
Planum Temporale,-0.015469389838200941
"Inferior Temporal Gyrus, temporooccipital part",0.15427899248666427
Central Opercular Cortex,-0.027293571401588872
Precuneous Cortex,0.047263247153413
Occipital Pole,0.04187389208909459
Lingual Gyrus,0.21402763026812766
"Inferior Frontal Gyrus, pars opercularis",-0.11288292142829626
Putamen,-0.06933620998282068
"Inferior Frontal Gyrus, pars triangularis",0.07804495217161836
Middle Frontal Gyrus,0.04500496405767744
Thalamus,-0.11554226426244656
Frontal Operculum Cortex,-0.09278645409154704
Precentral Gyrus,-0.07257263491551189
Parietal Operculum Cortex,0.0213538997963722
Caudate,-0.07801497159586969
Pallidum,-0.05060646370765349
Occipital Fusiform Gyrus,0.17457396100751674
Superior Parietal Lobule,-0.014117815940668313
Angular Gyrus,-0.022594109295364137
"Lateral Occipital Cortex, inferior division",0.23156522301781
"Inferior Temporal Gyrus, anterior division",-0.03579525378394581
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.1551009177992699
Cuneal Cortex,-0.023716874643811826
Temporal Pole,-0.21076115604740286
Subcallosal Cortex,0.12101765771864315
Planum Polare,0.032519872458467686
Paracingulate Gyrus,0.013580143898518944
Insular Cortex,-0.20686277776351966
Temporal Occipital Fusiform Cortex,0.06410900352591083
Hippocampus,0.12689008244032068
"Middle Temporal Gyrus, temporooccipital part",-0.3096985738620518
"Temporal Fusiform Cortex, anterior division",0.007635740306679531
"Lateral Occipital Cortex, superior division",-0.02459892667969976
Supracalcarine Cortex,-0.10697010518184864
Heschl's Gyrus (includes H1 and H2),0.10027287098666532
"Supramarginal Gyrus, posterior division",-0.03764885304233772
Postcentral Gyrus,-0.04162464816952122
Intracalcarine Cortex,0.05122429998305148
Frontal Orbital Cortex,-0.16690253016249065
"Parahippocampal Gyrus, posterior division",-0.06092802039456404
Amygdala,0.09214320862253156
"Inferior Temporal Gyrus, posterior division",0.1183392760790753
Frontal Medial Cortex,-0.020889426966204952
"Cingulate Gyrus, posterior division",0.11801486252227368
"Superior Temporal Gyrus, posterior division",-0.1757965022305652
"Middle Temporal Gyrus, posterior division",-0.08085758537586299
Ventral Striatum,0.17970259509264686
"Supramarginal Gyrus, anterior division",0.01720716061972391
"Cingulate Gyrus, anterior division",0.005490150742149355
"Superior Temporal Gyrus, anterior division",0.01758709174917801
"Parahippocampal Gyrus, anterior division",0.2018770298324501
"Temporal Fusiform Cortex, posterior division",-0.12565436303704042
FA anterior corona radiata,-0.1301888484143452
FA cingulum hippocampus,0.060698450400671365
FA fornix cres+stria terminalis,-0.2379262062757369
FA corticospinal tract,-0.02078270266234917
FA inferior cerebellar peduncle,0.003686465543071968
FA posterior corona radiata,0.097473330861041
FA tapetum,-0.004946978473533877
FA superior cerebellar peduncle,-0.03881864461783722
FA uncinate fasciculus,0.06898626768202037
FA cerebral peduncle,0.0483365448352574
FA posterior thalamic radiation,0.07279884034546175
FA anterior limb of internal capsule,0.2406581382162908
FA superior longitudinal fasciculus,-0.07975012785754773
FA external capsule,-0.05004309289208643
FA retrolenticular part of internal capsule,-0.101592993754446
FA sagittal stratum,0.059450112325041285
FA cingulum cingulate gyrus,-0.04759637091808026
FA superior fronto-occipital fasciculus,-0.25532016153714365
FA posterior limb of internal capsule,0.10249161793694388
FA medial lemniscus,0.08863417571038318
FA superior corona radiata,-0.009414013743009859
V Cerebellum,0.07953092258791257
Crus I Cerebellum,0.08940375434670388
VIIIa Cerebellum,0.005739677327843577
VIIIb Cerebellum,-0.00501674185063139
I-IV Cerebellum,0.0399482262907368
IX Cerebellum,-0.0923151192340488
Crus II Cerebellum,-0.015727850429291982
VIIb Cerebellum,0.01239371162333075
VI Cerebellum,-0.029436286015084624
