,Pattern 51
"Middle Temporal Gyrus, anterior division",0.19890167098255224
Superior Frontal Gyrus,-0.029104883131941376
Frontal Pole,-0.029414357562670482
Planum Temporale,0.05915159316790323
"Inferior Temporal Gyrus, temporooccipital part",-0.0399250949363541
Central Opercular Cortex,0.03218886120818819
Precuneous Cortex,0.1948212709784341
Occipital Pole,-0.026771037481093163
Lingual Gyrus,0.05234537733508718
"Inferior Frontal Gyrus, pars opercularis",0.1157199539889522
Putamen,-0.11836733245678742
"Inferior Frontal Gyrus, pars triangularis",-0.0075916417569009955
Middle Frontal Gyrus,0.0015859094373455453
Thalamus,0.14865891859116753
Frontal Operculum Cortex,0.025263455573811447
Precentral Gyrus,0.047932071608032915
Parietal Operculum Cortex,-0.030169810034389764
Caudate,-0.021938514059200137
Pallidum,0.16643906917146878
Occipital Fusiform Gyrus,-0.12554752472216568
Superior Parietal Lobule,-0.04447947935995082
Angular Gyrus,0.01221573683104827
"Lateral Occipital Cortex, inferior division",0.034230728878485515
"Inferior Temporal Gyrus, anterior division",0.004483109163486668
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.06939549966759287
Cuneal Cortex,-0.15728183244571792
Temporal Pole,-0.004158879173911917
Subcallosal Cortex,0.09207067828603736
Planum Polare,-0.07740553946386379
Paracingulate Gyrus,-0.03336933037709342
Insular Cortex,0.02292353983563998
Temporal Occipital Fusiform Cortex,-0.07892641219340082
Hippocampus,0.15583458794464736
"Middle Temporal Gyrus, temporooccipital part",0.09960942040471307
"Temporal Fusiform Cortex, anterior division",-0.07678531894057071
"Lateral Occipital Cortex, superior division",-0.02755061038126732
Supracalcarine Cortex,-0.09576011979008082
Heschl's Gyrus (includes H1 and H2),0.00696843048498061
"Supramarginal Gyrus, posterior division",0.012266698287645329
Postcentral Gyrus,0.058970618836273164
Intracalcarine Cortex,0.182165992329378
Frontal Orbital Cortex,0.13378010993502568
"Parahippocampal Gyrus, posterior division",-0.024839976757223808
Amygdala,-0.06784114906413853
"Inferior Temporal Gyrus, posterior division",0.0433286876444656
Frontal Medial Cortex,0.03850173649502868
"Cingulate Gyrus, posterior division",-0.11163198845598736
"Superior Temporal Gyrus, posterior division",0.04469433428446954
"Middle Temporal Gyrus, posterior division",-0.04277976868959285
Ventral Striatum,-0.03353601724352793
"Supramarginal Gyrus, anterior division",-0.03033985241463416
"Cingulate Gyrus, anterior division",-0.032144113340747765
"Superior Temporal Gyrus, anterior division",-0.026760806592325333
"Parahippocampal Gyrus, anterior division",0.029089287486334964
"Temporal Fusiform Cortex, posterior division",0.13927808187087232
FA anterior corona radiata,0.04863991196783882
FA cingulum hippocampus,-0.013674927048814107
FA fornix cres+stria terminalis,-0.2274519699309845
FA corticospinal tract,0.19346730874178128
FA inferior cerebellar peduncle,-0.16809391624473669
FA posterior corona radiata,-0.06213285967468219
FA tapetum,-0.046768371762063686
FA superior cerebellar peduncle,-0.3665958617020664
FA uncinate fasciculus,-0.17147084299966292
FA cerebral peduncle,-0.03842062967233721
FA posterior thalamic radiation,0.15768728330074738
FA anterior limb of internal capsule,0.19576813613819388
FA superior longitudinal fasciculus,0.05092456370798873
FA external capsule,0.0870452453913974
FA retrolenticular part of internal capsule,-0.20992065573398133
FA sagittal stratum,0.1224868003843448
FA cingulum cingulate gyrus,0.003927150208444388
FA superior fronto-occipital fasciculus,-0.19040401960793213
FA posterior limb of internal capsule,-0.12066722788744692
FA medial lemniscus,0.03656891130295986
FA superior corona radiata,-0.01782392488935388
V Cerebellum,-0.07655791674985987
Crus I Cerebellum,0.07739447880026787
VIIIa Cerebellum,-0.09618805039672618
VIIIb Cerebellum,0.007874398636706983
I-IV Cerebellum,-0.10228405715053004
IX Cerebellum,0.2631277122232556
Crus II Cerebellum,0.1525855943690919
VIIb Cerebellum,-0.004522532271379484
VI Cerebellum,0.06734273847089489
