i,phesid,p_Asymmetry Pattern 74,-logp_Asymmetry Pattern 74,Category
0,1677,0.13856610652519524,0.8583429858076874,early life factors
1,1777,0.4503776271605808,0.34642319151824424,early life factors
2,1787,0.016856528907194603,1.7732318503311175,early life factors
3,1767,0.9907403958176773,0.004040128999932554,early life factors
4,1697,0.24132768638834745,0.6173928506733705,early life factors
5,1687,0.45970149113809433,0.33752408752226853,early life factors
6,20022,0.08566325273433685,1.0672054389547032,early life factors
7,130,0.5633769437632036,0.24920093051550404,early life factors
8,129,0.42117773999641955,0.3755345901270718,early life factors
9,10722#4,0.7189800094452391,0.14328318459391315,lifestyle - general
10,10722#5,0.4207392475446589,0.3759869740846189,lifestyle - general
11,10722#2,0.6019323447631117,0.22045231928574321,lifestyle - general
12,10722#100,0.20322936806698175,0.6920135332589813,lifestyle - general
13,10722#3,0.4047194602988344,0.3928459127391273,lifestyle - general
14,10721#1,0.8050130015220528,0.09419710541637216,lifestyle - general
15,10860#1,0.7828977870366938,0.1062949345238813,lifestyle - general
16,10721#6,0.29413956074118913,0.5314465604771071,lifestyle - general
17,10721#2,0.6514187047659357,0.186139775307524,lifestyle - general
18,10721#3,0.7175359596453212,0.14415632918045201,lifestyle - general
19,10721#100,0.2980579037132638,0.5256993573320857,lifestyle - general
20,10114,0.10515478436672808,0.9781709628559299,lifestyle - general
21,10105,0.8345968312570571,0.07852326852220973,lifestyle - general
22,6160#4,0.9902589890067303,0.004251206627984451,lifestyle - general
23,6160#3,0.11677536341382884,0.9326487724805571,lifestyle - general
24,6160#5,0.26307170288056847,0.5799258639771747,lifestyle - general
25,10722#1,0.13327333937098776,0.8752567202193158,lifestyle - general
26,10860#100,0.8061231956584531,0.09359858213269664,lifestyle - general
27,20107#11,0.5455015291151837,0.2632040276872696,lifestyle - general
28,10860#3,0.8981633972588432,0.0466446476616517,lifestyle - general
29,20110#3,0.6150997854951602,0.21105442442851124,lifestyle - general
30,20110#9,0.02460780234917846,1.6089271701347532,lifestyle - general
31,20110#12,0.5764281620335069,0.23925480940389104,lifestyle - general
32,20110#11,0.012878813354298062,1.8901241507511894,lifestyle - general
33,20110#1,0.5462730310088254,0.26259023967059436,lifestyle - general
34,20110#8,0.44858187666013877,0.34815827650759923,lifestyle - general
35,20110#100,0.5472395433158046,0.26182252820431084,lifestyle - general
36,20107#101,0.2682172763822967,0.5715132518541026,lifestyle - general
37,20107#12,0.19589152809350496,0.707984345944018,lifestyle - general
38,10860#2,0.5809479672620937,0.2358627635526939,lifestyle - general
39,20107#9,0.47097308942140975,0.32700390698930104,lifestyle - general
40,20107#3,0.3834165413695556,0.4163291547063744,lifestyle - general
41,20107#4,0.6922244729286978,0.1597530507078723,lifestyle - general
42,20107#6,0.8745399884611064,0.05822032755643867,lifestyle - general
43,20107#13,0.7543323625112136,0.122437259699482,lifestyle - general
44,20107#8,0.6540906382443593,0.18436206671868652,lifestyle - general
45,20107#1,0.21472202196223847,0.6681234118924905,lifestyle - general
46,20107#2,0.24512288493559092,0.6106161406561929,lifestyle - general
47,20107#100,0.11865179137082149,0.9257257005432296,lifestyle - general
48,6160#2,0.5524233441645983,0.257727977400327,lifestyle - general
49,20107#10,0.0001025504442124796,3.989062454080492,lifestyle - general
50,6160#1,0.44553423369461326,0.35111892028376,lifestyle - general
51,6146#3,0.03952336468129479,1.4031460903921467,lifestyle - general
52,6146#1,0.4490100708976815,0.34774391804736493,lifestyle - general
53,6139#3,0.9877493319762874,0.005353255363661422,lifestyle - general
54,6139#2,0.8215364371245524,0.08537316979288999,lifestyle - general
55,6139#1,0.8793248498058902,0.05585065346412465,lifestyle - general
56,6139#100,0.8226417669993804,0.08478924435654286,lifestyle - general
57,6142#7,0.1888295176146296,0.7239301163136475,lifestyle - general
58,6142#100,0.9684728672125459,0.013912541991781793,lifestyle - general
59,6142#4,0.2939664383921673,0.531702249360257,lifestyle - general
60,6142#6,0.756028155246919,0.12146203063545298,lifestyle - general
61,6142#5,0.1519462348354316,0.8183100570875265,lifestyle - general
62,6140#1,0.7532230560534321,0.12307639475796388,lifestyle - general
63,6142#3,0.4801373113849306,0.31863454377263545,lifestyle - general
64,6142#1,0.8088186253676029,0.09214885642640545,lifestyle - general
65,6138#2,0.6159258708871199,0.2104715537477887,lifestyle - general
66,6138#4,0.2714220888382705,0.566354811539173,lifestyle - general
67,6138#1,0.8781989471351254,0.05640708790309462,lifestyle - general
68,6138#3,0.17109945847858804,0.7667513649775041,lifestyle - general
69,4501,0.6898947179497011,0.16121718013541664,lifestyle - general
70,2159,0.9382692827123438,0.027672501479746477,lifestyle - general
71,1835,0.14529365855372575,0.8377533403834972,lifestyle - general
72,1797,0.12110653147614878,0.9168324340034558,lifestyle - general
73,6142#2,0.2039756291706245,0.6904217185985252,lifestyle - general
74,6160#100,0.507008251722329,0.2949849723268006,lifestyle - general
75,6140#3,0.6822649197273519,0.16604695842917225,lifestyle - general
76,6140#100,0.027600461797084797,1.5590836514765258,lifestyle - general
77,20110#5,0.995771534965982,0.0018402925854558317,lifestyle - general
78,6146#2,0.8872730381727973,0.05194271531491712,lifestyle - general
79,6146#100,0.21146113676840322,0.6747694374515861,lifestyle - general
80,6145#4,0.31642738172115725,0.499725942317631,lifestyle - general
81,6145#2,0.0431802559321007,1.3647147879033703,lifestyle - general
82,6145#6,0.608647412345605,0.21563422003888524,lifestyle - general
83,6145#3,0.13672701752232594,0.8641456595251013,lifestyle - general
84,6145#5,0.44928015452622616,0.34748276451425497,lifestyle - general
85,6145#100,0.6617444267385366,0.17930970767208795,lifestyle - general
86,6140#5,0.4699469751302657,0.32795114144182824,lifestyle - general
87,6145#1,0.5494527156200737,0.26006967581349216,lifestyle - general
88,6141#7,0.8885987904583437,0.05129428224709982,lifestyle - general
89,6141#3,0.037891217101710735,1.421461444551675,lifestyle - general
90,6141#4,0.2507110437089707,0.6008265351433852,lifestyle - general
91,6141#8,0.6147438561758203,0.21130580295894397,lifestyle - general
92,6141#2,0.644360566448854,0.1908710453752359,lifestyle - general
93,6141#1,0.3184450582635363,0.49696548625242765,lifestyle - general
94,6140#4,0.841800229587112,0.07479096014133187,lifestyle - general
95,6140#6,0.3735155058019768,0.4276913645461525,lifestyle - general
96,6140#2,0.5237408810289602,0.28088352555935714,lifestyle - general
97,6141#6,0.7975684833294803,0.09823201591321197,lifestyle - general
98,20110#6,0.3822644506500399,0.4176360880766658,lifestyle - general
99,670_1.0,0.2733434302632922,0.5632913597994496,lifestyle - general
100,20110#10,0.7946012550307642,0.09985075333489071,lifestyle - general
101,1845,0.0005676080555821861,3.2459514495957014,lifestyle - general
102,1807,0.9630714778621615,0.016341478930374624,lifestyle - general
103,767,0.2965690672712525,0.5278741487020148,lifestyle - general
104,699,0.36123422011167555,0.4422111152197707,lifestyle - general
105,189,0.6542303105475915,0.1842693388435349,lifestyle - general
106,6,0.6334879179053164,0.19826166371201365,lifestyle - general
107,5,0.5821529060011585,0.23496293028002735,lifestyle - general
108,4,0.8697970811615764,0.06058205406036769,lifestyle - general
109,3,0.954478543138922,0.020233830183993065,lifestyle - general
110,24504,0.7650337789965939,0.1163193887575552,lifestyle - general
111,24505,0.3082042979348408,0.5111613093023167,lifestyle - general
112,24506,0.5031502533129822,0.2983023043268242,lifestyle - general
113,24507,0.6350712085479803,0.19717757589605783,lifestyle - general
114,24508,0.5473431152215712,0.2617403403367468,lifestyle - general
115,26410,0.4103054104039503,0.3868927562646534,lifestyle - general
116,26411,0.8103453044971534,0.09132988003265759,lifestyle - general
117,26412,0.5911033831824197,0.2283365549579111,lifestyle - general
118,26413,0.1989664164487799,0.7012202219914115,lifestyle - general
119,26414,0.8226836801924168,0.08476711783015911,lifestyle - general
120,2139,0.5868110417705691,0.2315017228197024,lifestyle - general
121,2946,0.4021922927414842,0.3955662560961028,lifestyle - general
122,3526,0.9044331659354601,0.043623520277741655,lifestyle - general
123,3659,0.6142968676897337,0.21162169914980422,lifestyle - general
124,24501,0.7529431823225099,0.12323779476185615,lifestyle - general
125,24500,0.26792172354257643,0.5719920716393503,lifestyle - general
126,24020,0.09441087658429917,1.0249779700193076,lifestyle - general
127,24019,0.46714210099103015,0.33055099033556773,lifestyle - general
128,24018,0.4817000494455565,0.31722330910609486,lifestyle - general
129,24017,0.4646468383349623,0.3328770136379773,lifestyle - general
130,24016,0.3547070225374452,0.450130213222248,lifestyle - general
131,24012,0.6163839149011009,0.21014870311526765,lifestyle - general
132,24011,0.8071864289398891,0.09302614841394245,lifestyle - general
133,26415,0.6901312435575689,0.16106831080948103,lifestyle - general
134,24010,0.7984906090966795,0.09773018715414557,lifestyle - general
135,24007,0.28535658805457037,0.5446120964014494,lifestyle - general
136,24006,0.7299747847767436,0.13669214127879495,lifestyle - general
137,24005,0.11697695971084174,0.9318996703548418,lifestyle - general
138,24004,0.5847204221643466,0.2330517375661754,lifestyle - general
139,24003,0.9457045131279289,0.024244538401717457,lifestyle - general
140,22704,0.7169584076870235,0.1445060379667203,lifestyle - general
141,22702,0.6032016617742494,0.21953747068869256,lifestyle - general
142,20075,0.5184721356297628,0.2852745790385131,lifestyle - general
143,20074,0.26621833431144853,0.5747620382073274,lifestyle - general
