,Pattern 80
"Middle Temporal Gyrus, anterior division",0.11397378004000555
Superior Frontal Gyrus,0.033853810997884336
Frontal Pole,0.008378020248422852
Planum Temporale,0.15057694924338333
"Inferior Temporal Gyrus, temporooccipital part",-0.030497027513492814
Central Opercular Cortex,-0.054438053933131135
Precuneous Cortex,-0.05129044272960738
Occipital Pole,0.05471823505128959
Lingual Gyrus,-0.009271775721044095
"Inferior Frontal Gyrus, pars opercularis",-0.034618186730526634
Putamen,0.03002611361401625
"Inferior Frontal Gyrus, pars triangularis",-0.16377199257970956
Middle Frontal Gyrus,-0.0180906346377033
Thalamus,0.02887664578467916
Frontal Operculum Cortex,0.20166256692948675
Precentral Gyrus,0.02749919492995609
Parietal Operculum Cortex,-0.18642084393092132
Caudate,0.012418725861285708
Pallidum,-0.005093557143194871
Occipital Fusiform Gyrus,-0.023163222476994927
Superior Parietal Lobule,-0.0005612101484843424
Angular Gyrus,0.28772126303124385
"Lateral Occipital Cortex, inferior division",0.09387187876147247
"Inferior Temporal Gyrus, anterior division",-0.18810940031446588
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.004128049052355837
Cuneal Cortex,-0.01869750253295924
Temporal Pole,0.02578955600324681
Subcallosal Cortex,0.029625736868539174
Planum Polare,0.252086668909557
Paracingulate Gyrus,0.06630788983549274
Insular Cortex,-0.14945700444208654
Temporal Occipital Fusiform Cortex,0.10864203479723453
Hippocampus,-0.017000492104396026
"Middle Temporal Gyrus, temporooccipital part",0.13960428494034022
"Temporal Fusiform Cortex, anterior division",0.17427399902473473
"Lateral Occipital Cortex, superior division",-0.0904564281348808
Supracalcarine Cortex,-0.003991828706291244
Heschl's Gyrus (includes H1 and H2),0.0234098761943224
"Supramarginal Gyrus, posterior division",-0.3579091282844548
Postcentral Gyrus,-0.15953141365840284
Intracalcarine Cortex,-0.008846271686768728
Frontal Orbital Cortex,0.011016499833909113
"Parahippocampal Gyrus, posterior division",0.1020141864375544
Amygdala,0.018360054857989076
"Inferior Temporal Gyrus, posterior division",0.302223093954606
Frontal Medial Cortex,0.06519407210661564
"Cingulate Gyrus, posterior division",-0.015465230585705966
"Superior Temporal Gyrus, posterior division",0.2220259697405864
"Middle Temporal Gyrus, posterior division",-0.17038578352795036
Ventral Striatum,-0.03770574022590849
"Supramarginal Gyrus, anterior division",0.3266733091448004
"Cingulate Gyrus, anterior division",0.08759026322188344
"Superior Temporal Gyrus, anterior division",-0.17732672824903634
"Parahippocampal Gyrus, anterior division",-0.059448548559251024
"Temporal Fusiform Cortex, posterior division",-0.19179472206065445
FA anterior corona radiata,-0.00025356572207269057
FA cingulum hippocampus,0.02220125935492439
FA fornix cres+stria terminalis,-0.03606282060311472
FA corticospinal tract,0.02145987779219735
FA inferior cerebellar peduncle,-0.0005473761071458933
FA posterior corona radiata,-0.00046028385745347766
FA tapetum,-0.0002083004162463419
FA superior cerebellar peduncle,-0.004023366664014335
FA uncinate fasciculus,-2.511119333669753e-05
FA cerebral peduncle,0.007384614996247636
FA posterior thalamic radiation,-0.016614758831349434
FA anterior limb of internal capsule,0.018816442809778518
FA superior longitudinal fasciculus,-0.0172449538350248
FA external capsule,0.0042313954462741355
FA retrolenticular part of internal capsule,0.07253206203216693
FA sagittal stratum,-0.011318352970283541
FA cingulum cingulate gyrus,-0.0010125963544629028
FA superior fronto-occipital fasciculus,-0.0157303417071121
FA posterior limb of internal capsule,-0.05839432738737976
FA medial lemniscus,0.010242559740842124
FA superior corona radiata,0.016924011974705326
V Cerebellum,0.04727580399366367
Crus I Cerebellum,-0.0014689159064474634
VIIIa Cerebellum,-0.009584450952661184
VIIIb Cerebellum,0.05513698694199636
I-IV Cerebellum,-0.07237436762281099
IX Cerebellum,-0.042727719815900365
Crus II Cerebellum,0.057835090329333136
VIIb Cerebellum,-0.043713276252912166
VI Cerebellum,-0.007039900983574988
