,Pattern 64
"Middle Temporal Gyrus, anterior division",-0.05632643945336565
Superior Frontal Gyrus,0.00510804524338524
Frontal Pole,0.07860078017193407
Planum Temporale,0.0406671035011936
"Inferior Temporal Gyrus, temporooccipital part",0.04587987309234126
Central Opercular Cortex,0.039129666672955615
Precuneous Cortex,-0.054126835135843536
Occipital Pole,-0.028114005408033656
Lingual Gyrus,-0.02340368535648508
"Inferior Frontal Gyrus, pars opercularis",-0.05061650298960321
Putamen,0.017002365858120996
"Inferior Frontal Gyrus, pars triangularis",-0.04896882563587239
Middle Frontal Gyrus,0.0002805019711033599
Thalamus,-0.09977490405339966
Frontal Operculum Cortex,-0.060402578733172674
Precentral Gyrus,-0.055964543346484284
Parietal Operculum Cortex,-0.10125255447719142
Caudate,0.33472667788440197
Pallidum,-0.007674883136094962
Occipital Fusiform Gyrus,0.20290555899003695
Superior Parietal Lobule,-0.0032203264649892462
Angular Gyrus,-0.09135686800811713
"Lateral Occipital Cortex, inferior division",-0.18445054663077068
"Inferior Temporal Gyrus, anterior division",0.01601326013829283
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.0012353978936591875
Cuneal Cortex,0.05804436131604235
Temporal Pole,0.17609914577782382
Subcallosal Cortex,0.31442217631712754
Planum Polare,-0.002524057279009257
Paracingulate Gyrus,0.0048530095097326755
Insular Cortex,-0.03059893004171458
Temporal Occipital Fusiform Cortex,-0.0582643794654821
Hippocampus,0.13702101716677567
"Middle Temporal Gyrus, temporooccipital part",0.16035503577380192
"Temporal Fusiform Cortex, anterior division",-0.03219250170219004
"Lateral Occipital Cortex, superior division",0.028095164245332496
Supracalcarine Cortex,0.014352181658566415
Heschl's Gyrus (includes H1 and H2),-0.1198839129835713
"Supramarginal Gyrus, posterior division",0.08523797444122799
Postcentral Gyrus,0.0004826335082709493
Intracalcarine Cortex,0.016265711756308254
Frontal Orbital Cortex,-0.16246594916044466
"Parahippocampal Gyrus, posterior division",-0.22352689195587247
Amygdala,0.07850638648966146
"Inferior Temporal Gyrus, posterior division",0.12991081607882576
Frontal Medial Cortex,-0.0712345190159759
"Cingulate Gyrus, posterior division",0.029751433008496427
"Superior Temporal Gyrus, posterior division",0.12927250779090552
"Middle Temporal Gyrus, posterior division",-0.14806317078106512
Ventral Striatum,-0.3917914456703389
"Supramarginal Gyrus, anterior division",-0.025068234002847408
"Cingulate Gyrus, anterior division",-0.03213158982182135
"Superior Temporal Gyrus, anterior division",0.03439391822709568
"Parahippocampal Gyrus, anterior division",-0.04556124870642303
"Temporal Fusiform Cortex, posterior division",0.13513670890221374
FA anterior corona radiata,0.08149806370878147
FA cingulum hippocampus,0.12820928984943952
FA fornix cres+stria terminalis,-0.1895221200912044
FA corticospinal tract,0.05620484655109827
FA inferior cerebellar peduncle,-0.029193809306912587
FA posterior corona radiata,-0.004655573457319439
FA tapetum,-0.012733474691100343
FA superior cerebellar peduncle,-0.008643245152579884
FA uncinate fasciculus,0.006361380343113922
FA cerebral peduncle,-0.04803328535254954
FA posterior thalamic radiation,-0.0430270873791206
FA anterior limb of internal capsule,0.211404068317016
FA superior longitudinal fasciculus,0.047863311289497404
FA external capsule,-0.11143771362386964
FA retrolenticular part of internal capsule,0.06975308064935076
FA sagittal stratum,0.13822233465437353
FA cingulum cingulate gyrus,-0.03109429121873405
FA superior fronto-occipital fasciculus,0.09243466210246293
FA posterior limb of internal capsule,0.019943543611966118
FA medial lemniscus,0.04056273035850845
FA superior corona radiata,-0.05844557286531881
V Cerebellum,-0.0064823067985277745
Crus I Cerebellum,-0.06379264477885893
VIIIa Cerebellum,0.0567420838873996
VIIIb Cerebellum,0.020094051863168042
I-IV Cerebellum,0.15852071483474514
IX Cerebellum,-0.15758256929592165
Crus II Cerebellum,-0.04224848357901866
VIIb Cerebellum,-0.00015893587218601682
VI Cerebellum,-0.03050837365835315
