i,phesid,p_Asymmetry Pattern 75,-logp_Asymmetry Pattern 75,Category
0,1677,0.4109336666100808,0.3862282767862455,early life factors
1,1777,0.17218713949673092,0.7639992887370537,early life factors
2,1787,0.54572699524114,0.2630245626282709,early life factors
3,1767,0.017741411681554645,1.751011826380438,early life factors
4,1697,0.8535107727444414,0.06879099298634168,early life factors
5,1687,0.2818685782945368,0.5499533350325672,early life factors
6,20022,0.08497124760576398,1.0707280050925727,early life factors
7,130,0.3538374635054332,0.45119618688043234,early life factors
8,129,0.08917664319310208,1.049748879487538,early life factors
9,10722#4,0.5978879466948733,0.22338020178418172,lifestyle - general
10,10722#5,0.05667585367171131,1.246601929655412,lifestyle - general
11,10722#2,0.0884307134564028,1.053396871095589,lifestyle - general
12,10722#100,0.03404542242151133,1.4679412729060146,lifestyle - general
13,10722#3,0.05874263710662804,1.2310465607899113,lifestyle - general
14,10721#1,0.4278289542948413,0.3687298269057787,lifestyle - general
15,10860#1,0.7916160789696465,0.10148539317095498,lifestyle - general
16,10721#6,0.9571419182954073,0.01902366330675391,lifestyle - general
17,10721#2,0.9270668640528834,0.03288894153837008,lifestyle - general
18,10721#3,0.7556680924911613,0.12166891514833783,lifestyle - general
19,10721#100,0.8894295409318385,0.050888450274277054,lifestyle - general
20,10114,0.9036530831733662,0.043998265299106505,lifestyle - general
21,10105,0.9167016843993708,0.03777197065200948,lifestyle - general
22,6160#4,0.08819369754495071,1.0545624491000107,lifestyle - general
23,6160#3,0.0010127907080309223,2.994480291794935,lifestyle - general
24,6160#5,0.16218130373622058,0.7899992127154442,lifestyle - general
25,10722#1,0.7044638747526885,0.15214127281413867,lifestyle - general
26,10860#100,0.4488918307181038,0.3478582981544441,lifestyle - general
27,20107#11,0.14948159938200473,0.8254122640531791,lifestyle - general
28,10860#3,0.37060061219722124,0.43109386760304835,lifestyle - general
29,20110#3,0.8785041134878737,0.05625620063322524,lifestyle - general
30,20110#9,0.8307446949713383,0.08053242338904125,lifestyle - general
31,20110#12,0.7985678283983711,0.09768819004764036,lifestyle - general
32,20110#11,0.5403409508550696,0.2673321173091428,lifestyle - general
33,20110#1,0.5473815208341164,0.2617098681155873,lifestyle - general
34,20110#8,0.09895445408986107,1.004564652765184,lifestyle - general
35,20110#100,0.5873328218734691,0.23111572883482537,lifestyle - general
36,20107#101,0.7718552077597107,0.11246416128171133,lifestyle - general
37,20107#12,0.5762392893448534,0.23939713383076802,lifestyle - general
38,10860#2,0.6081066391211222,0.2160202550679598,lifestyle - general
39,20107#9,0.4284986903025915,0.3680505011508804,lifestyle - general
40,20107#3,0.8851642039701473,0.05297615725333732,lifestyle - general
41,20107#4,0.07770320822314669,1.109561049605196,lifestyle - general
42,20107#6,0.15238810263313288,0.817048938261995,lifestyle - general
43,20107#13,0.8684546555954903,0.06125285233347791,lifestyle - general
44,20107#8,0.7202037646430102,0.14254461281836786,lifestyle - general
45,20107#1,0.7844358058070892,0.10544259105023103,lifestyle - general
46,20107#2,0.590051508863416,0.22911007473290496,lifestyle - general
47,20107#100,0.16647833764719008,0.7786422693789427,lifestyle - general
48,6160#2,0.00011827100651979499,3.927121707204122,lifestyle - general
49,20107#10,0.5551572004988669,0.255584022927213,lifestyle - general
50,6160#1,0.9343812024665163,0.02947590711864232,lifestyle - general
51,6146#3,0.832921462702288,0.07939594688016212,lifestyle - general
52,6146#1,0.7906575887045334,0.10201155636575238,lifestyle - general
53,6139#3,0.9145031979198001,0.038814771503590105,lifestyle - general
54,6139#2,0.22007089901812737,0.6574373823963334,lifestyle - general
55,6139#1,0.1379972499692164,0.8601295682008986,lifestyle - general
56,6139#100,0.034137305911233096,1.466770756040642,lifestyle - general
57,6142#7,0.4274766259782355,0.36908762710234994,lifestyle - general
58,6142#100,0.023545912408236874,1.628084475907818,lifestyle - general
59,6142#4,0.6834440697160856,0.16529702053661882,lifestyle - general
60,6142#6,0.5612310765890329,0.25085828914498887,lifestyle - general
61,6142#5,0.3536441280872262,0.4514335485542106,lifestyle - general
62,6140#1,0.34705025630911235,0.4596076305193886,lifestyle - general
63,6142#3,0.11067601417752732,0.9559464896817483,lifestyle - general
64,6142#1,0.01148566336562713,1.939843916645572,lifestyle - general
65,6138#2,0.08053274674708796,1.0940274880830347,lifestyle - general
66,6138#4,0.04800233017699049,1.318737680156786,lifestyle - general
67,6138#1,0.7128251918496626,0.14701696036292033,lifestyle - general
68,6138#3,0.11955501038364083,0.9224322184911541,lifestyle - general
69,4501,0.1023952011371309,0.9897203965681955,lifestyle - general
70,2159,0.591471355277697,0.2280662832356536,lifestyle - general
71,1835,0.03843482357878109,1.415275108062587,lifestyle - general
72,1797,0.23516836253762974,0.6286211047877125,lifestyle - general
73,6142#2,0.029023113514131792,1.5372559995662665,lifestyle - general
74,6160#100,0.5809464305594,0.23586391233437576,lifestyle - general
75,6140#3,0.4119616069490416,0.3851432564598702,lifestyle - general
76,6140#100,0.562561019791956,0.24983036366699649,lifestyle - general
77,20110#5,0.8406803840573395,0.07536908603715355,lifestyle - general
78,6146#2,0.9029780213134745,0.04432282038244436,lifestyle - general
79,6146#100,0.8208308751250071,0.08574631616472585,lifestyle - general
80,6145#4,0.5172381375362602,0.2863094607620245,lifestyle - general
81,6145#2,0.33168769404883564,0.47927064094909017,lifestyle - general
82,6145#6,0.42687233884662706,0.3697019863895086,lifestyle - general
83,6145#3,0.6043038766376607,0.21874461972317327,lifestyle - general
84,6145#5,0.10038557992440164,0.9983286677591072,lifestyle - general
85,6145#100,0.7769789348197514,0.10959075547908119,lifestyle - general
86,6140#5,0.09489244655785964,1.022768356053194,lifestyle - general
87,6145#1,0.6385937356170955,0.19477534605381147,lifestyle - general
88,6141#7,0.47109254887097357,0.32689376481252264,lifestyle - general
89,6141#3,0.9383765615439833,0.02762284841942141,lifestyle - general
90,6141#4,0.285254960810734,0.5447667941174827,lifestyle - general
91,6141#8,0.6208115873460457,0.20704018563923082,lifestyle - general
92,6141#2,0.05220688806658686,1.2822721933203773,lifestyle - general
93,6141#1,0.41930453329078143,0.37747044221716036,lifestyle - general
94,6140#4,0.8890696826618336,0.05106419897406829,lifestyle - general
95,6140#6,0.14744932399111946,0.8313572142115357,lifestyle - general
96,6140#2,0.4305632800900752,0.3659630110528363,lifestyle - general
97,6141#6,0.36803481677711314,0.43411109431851885,lifestyle - general
98,20110#6,0.14279851135292906,0.8452763199728576,lifestyle - general
99,670_1.0,0.40789927053120206,0.38944707135502343,lifestyle - general
100,20110#10,0.3165327235465282,0.49958138542213676,lifestyle - general
101,1845,0.32408563459720224,0.48934021905552233,lifestyle - general
102,1807,0.5532199960876422,0.25710213074353666,lifestyle - general
103,767,0.0008945174748252723,3.048411170864011,lifestyle - general
104,699,0.18383429219874803,0.7355734726912003,lifestyle - general
105,189,0.3862874652366098,0.41308938418470287,lifestyle - general
106,6,0.8810049653020126,0.05502164391804479,lifestyle - general
107,5,0.31878792830657277,0.49649813259934045,lifestyle - general
108,4,0.4052804956959581,0.39224429637042507,lifestyle - general
109,3,0.02056129519045932,1.6869495318774963,lifestyle - general
110,24504,0.3284966271136457,0.4834690852623493,lifestyle - general
111,24505,0.06428658048134404,1.1918796745275015,lifestyle - general
112,24506,0.9617996930852047,0.01691536584759651,lifestyle - general
113,24507,0.4135041328544298,0.38352014544177626,lifestyle - general
114,24508,0.6632153046945057,0.17834546034125898,lifestyle - general
115,26410,0.06584265649027347,1.1814926553809462,lifestyle - general
116,26411,0.10654196702567566,0.9724792893372722,lifestyle - general
117,26412,0.05806718937025629,1.2360691946405051,lifestyle - general
118,26413,0.09293027098422656,1.0318427964475472,lifestyle - general
119,26414,0.83047248789511,0.0806747503929012,lifestyle - general
120,2139,0.6755767315363018,0.17032531697463885,lifestyle - general
121,2946,0.16789477024574231,0.7749628314902365,lifestyle - general
122,3526,0.051205980863699624,1.290679310422523,lifestyle - general
123,3659,0.8356170407498015,0.07799271202808084,lifestyle - general
124,24501,0.6633174409756384,0.17827858340432626,lifestyle - general
125,24500,0.6936450796365996,0.15886269003987546,lifestyle - general
126,24020,0.9902379997649151,0.004260411905196862,lifestyle - general
127,24019,0.973719066077946,0.011566326130724494,lifestyle - general
128,24018,0.4264884908292385,0.3700926841606905,lifestyle - general
129,24017,0.22794401871422573,0.6421717992658679,lifestyle - general
130,24016,0.3099824032125878,0.5086629590837288,lifestyle - general
131,24012,0.4872569869954226,0.3122419246232684,lifestyle - general
132,24011,0.4362410123460955,0.360273507491112,lifestyle - general
133,26415,0.5708068828765622,0.24351079873663306,lifestyle - general
134,24010,0.7339340743444434,0.13434294884998205,lifestyle - general
135,24007,0.4448376882706911,0.35179842485539675,lifestyle - general
136,24006,0.567023656624525,0.24639882165882063,lifestyle - general
137,24005,0.8539898854243684,0.06854727302340348,lifestyle - general
138,24004,0.579362615209845,0.2370495321420848,lifestyle - general
139,24003,0.5763143917312379,0.23934053507521108,lifestyle - general
140,22704,0.48771061784567304,0.311837789371342,lifestyle - general
141,22702,0.9892007399277293,0.004715567455898382,lifestyle - general
142,20075,0.46317979852744195,0.3342503905141696,lifestyle - general
143,20074,0.9165869152754906,0.037826346812171056,lifestyle - general
144,24008,0.6012826393414654,0.2209213352315799,lifestyle - general
145,26416,0.27334742669768897,0.5632850102167422,lifestyle - general
146,26417,0.12708344301330915,0.8959110275447201,lifestyle - general
147,26427,0.653681139674322,0.18463404532860872,lifestyle - general
148,738,0.031613540260090854,1.5001268667251473,lifestyle - general
149,728,0.9352308736448102,0.02908116477151609,lifestyle - general
150,709,0.22441494024854533,0.6489482336390741,lifestyle - general
151,24502,0.1739856371947171,0.7594866019733639,lifestyle - general
152,24014,0.43731395926600714,0.3592066595510052,lifestyle - general
153,20111#101,0.30759263444255874,0.5120240682829985,lifestyle - general
154,20111#11,0.19748875391811385,0.7044576304191283,lifestyle - general
155,20111#4,0.15603534497503505,0.8067770145369395,lifestyle - general
156,20111#10,0.5160090191172,0.28734270744526935,lifestyle - general
157,777,0.9812450702846082,0.008222512110201887,lifestyle - general
158,20111#6,0.49199689937080593,0.3080376342049823,lifestyle - general
159,20111#1,0.22877989461585008,0.6405821443941122,lifestyle - general
160,20111#12,0.5323484206058743,0.2738040300783096,lifestyle - general
161,20111#13,0.3279364728021548,0.48421027879928097,lifestyle - general
162,20111#3,0.7079869337998608,0.14997475732574364,lifestyle - general
163,20111#9,0.2926572045432948,0.5336407800928241,lifestyle - general
164,20111#8,0.03601111629550593,1.4435634158832484,lifestyle - general
165,20111#5,0.61239422913549,0.2129689105054899,lifestyle - general
166,20111#100,0.10809331005339717,0.9662011839079337,lifestyle - general
167,20110#4,0.07530526032696273,1.1231746858022216,lifestyle - general
168,20111#2,0.05860231054194097,1.2320852605035297,lifestyle - general
169,20110#2,0.397223828955283,0.40096470661830425,lifestyle - general
170,1031,0.7672198472031556,0.11508017093212503,lifestyle - general
171,1883,0.10090962266760824,0.9960674177850863,lifestyle - general
172,26428,0.0016657729233845342,2.778384201514181,lifestyle - general
173,26429,0.3339462181093533,0.47632347049102486,lifestyle - general
174,26430,0.10409599142353694,0.9825659941797377,lifestyle - general
175,26431,0.867066748807163,0.06194746824144879,lifestyle - general
176,26432,0.9810871371569885,0.008292418200233881,lifestyle - general
177,26433,0.51443846498988,0.28866656631185245,lifestyle - general
178,26434,0.8210391493281428,0.08563613407201125,lifestyle - general
179,24015,0.1978345692223714,0.7036978183467629,lifestyle - general
180,24013,0.4256447140726665,0.3709527555837844,lifestyle - general
181,1873,0.12368499252482341,0.9076829928450506,lifestyle - general
182,24009,0.6421488807447836,0.19236427007767726,lifestyle - general
183,10740,0.9794900336730011,0.008999978600169534,lifestyle - general
184,5057,0.6557047433560999,0.1832916746437961,lifestyle - general
185,4674,0.7021985154796331,0.1535400930131984,lifestyle - general
186,3669,0.8375675884561472,0.07698013699659206,lifestyle - general
187,2405,0.8369895685497796,0.0772799546106823,lifestyle - general
188,2385,0.027036148958558128,1.5680551694299938,lifestyle - general
189,2375,0.9354560947121693,0.028976591137455952,lifestyle - general
190,2237,0.945354416169587,0.02440534267547168,lifestyle - general
191,2149,0.43319378394409686,0.3633177838522265,lifestyle - general
192,10877,0.7867616631415686,0.10415681028257741,lifestyle - general
193,20110#101,0.6168987343626513,0.20978612075923103,lifestyle - general
194,24503,0.33886816642561096,0.4699692272530593,lifestyle - general
195,20118_12.0,0.13617351909056644,0.865907339053122,lifestyle - general
196,20118_16.0,0.23795266603946308,0.6235094249701154,lifestyle - general
197,20118_13.0,0.5995884886383538,0.22214671366370517,lifestyle - general
198,20118_11.0,0.6904676012676567,0.1608566949575998,lifestyle - general
199,20118_8.0,0.9144187081241884,0.03885489727595485,lifestyle - general
200,20118_7.0,0.8098127474642628,0.09161539117613297,lifestyle - general
201,20118_6.0,0.7776119724169919,0.10923706146320258,lifestyle - general
202,2395_4.0,4.1049283472798945e-05,4.3866944192150745,lifestyle - general
203,2395_3.0,0.008957414907974444,2.047817308774208,lifestyle - general
204,2395_2.0,8.427716141947701e-07,6.074290100503641,lifestyle - general
205,20118_5.0,0.3662581470495213,0.43621270608002244,lifestyle - general
206,680_6.0,0.3839332977108858,0.41574422082087764,lifestyle - general
207,680_5.0,0.8640123327794376,0.06348005842408089,lifestyle - general
208,680_4.0,0.36152591385544586,0.4418605674121385,lifestyle - general
209,680_3.0,0.856898603189857,0.06707056510179517,lifestyle - general
210,680_2.0,0.4050240254760675,0.3925192142613665,lifestyle - general
211,680_1.0,0.3011858203536126,0.5211654783117751,lifestyle - general
212,670_4.0,0.29283070719031234,0.5333833836790266,lifestyle - general
213,2395_1.0,3.7083995151084795e-09,8.430813484381765,lifestyle - general
214,670_3.0,0.038313806004469264,1.416644704069195,lifestyle - general
215,670_2.0,0.5208285600412991,0.28330520890941907,lifestyle - general
216,3637,0.33777753919376446,0.4713692325877466,lifestyle - exercise & work
217,3426,0.994786838457501,0.0022699693038840687,lifestyle - exercise & work
218,2634,0.2795425434410009,0.5535520876858196,lifestyle - exercise & work
