,Pattern 65
"Middle Temporal Gyrus, anterior division",0.1145168101469984
Superior Frontal Gyrus,0.007604014259811456
Frontal Pole,0.029795800492720417
Planum Temporale,-0.0002426930307399752
"Inferior Temporal Gyrus, temporooccipital part",-0.1320999299027831
Central Opercular Cortex,0.047506201889981794
Precuneous Cortex,0.06003129726836834
Occipital Pole,0.016736235756434074
Lingual Gyrus,0.1419395033333393
"Inferior Frontal Gyrus, pars opercularis",-0.002181744358835655
Putamen,-0.2152615241544304
"Inferior Frontal Gyrus, pars triangularis",-0.05884771654537028
Middle Frontal Gyrus,0.03496635783316692
Thalamus,-0.12159235723520663
Frontal Operculum Cortex,0.004169259474138556
Precentral Gyrus,-0.023192815255267937
Parietal Operculum Cortex,-0.011441111818599942
Caudate,0.1231654241383704
Pallidum,0.037279732991725545
Occipital Fusiform Gyrus,-0.04485419322001896
Superior Parietal Lobule,0.08780236925779498
Angular Gyrus,-0.05975419977633877
"Lateral Occipital Cortex, inferior division",-0.06688150821739725
"Inferior Temporal Gyrus, anterior division",-0.045539267248749835
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.0066694036169207315
Cuneal Cortex,-0.031305906441539286
Temporal Pole,-0.026589410668123342
Subcallosal Cortex,0.015239649725182006
Planum Polare,-0.023528356971071186
Paracingulate Gyrus,-0.03875814646688102
Insular Cortex,0.06835130757173975
Temporal Occipital Fusiform Cortex,0.06500267060267115
Hippocampus,-0.07311206883971377
"Middle Temporal Gyrus, temporooccipital part",0.0021137511456043034
"Temporal Fusiform Cortex, anterior division",-0.011155990410094073
"Lateral Occipital Cortex, superior division",0.06668958121196297
Supracalcarine Cortex,0.07697635181649512
Heschl's Gyrus (includes H1 and H2),-0.06618774253011872
"Supramarginal Gyrus, posterior division",-0.021358315048736757
Postcentral Gyrus,0.02247493810818714
Intracalcarine Cortex,0.024042660846627286
Frontal Orbital Cortex,-0.08252247205643888
"Parahippocampal Gyrus, posterior division",0.008655854806325504
Amygdala,0.11919540644544695
"Inferior Temporal Gyrus, posterior division",-0.06691865390049331
Frontal Medial Cortex,-0.025103295192924487
"Cingulate Gyrus, posterior division",0.12777916866911596
"Superior Temporal Gyrus, posterior division",0.046820108911549
"Middle Temporal Gyrus, posterior division",-0.07993190778635592
Ventral Striatum,0.1396184820695824
"Supramarginal Gyrus, anterior division",0.06349943646230596
"Cingulate Gyrus, anterior division",-0.033220282363121766
"Superior Temporal Gyrus, anterior division",-0.10542088628968042
"Parahippocampal Gyrus, anterior division",0.03383234650545888
"Temporal Fusiform Cortex, posterior division",0.1196473546016495
FA anterior corona radiata,0.009922544758594304
FA cingulum hippocampus,-0.15169309134507725
FA fornix cres+stria terminalis,-0.07771031869643691
FA corticospinal tract,0.26835524173301506
FA inferior cerebellar peduncle,0.3120182980080119
FA posterior corona radiata,-0.10303455415262576
FA tapetum,-0.10548158824130073
FA superior cerebellar peduncle,0.06316270811232863
FA uncinate fasciculus,-0.07755592941780129
FA cerebral peduncle,-0.1625506673920586
FA posterior thalamic radiation,0.3052727886216924
FA anterior limb of internal capsule,0.017179103953497074
FA superior longitudinal fasciculus,-0.08021680087376261
FA external capsule,0.0068122403486888935
FA retrolenticular part of internal capsule,0.11324303229794686
FA sagittal stratum,-0.1664752715182709
FA cingulum cingulate gyrus,0.053350573890064416
FA superior fronto-occipital fasciculus,0.060243548405692876
FA posterior limb of internal capsule,0.06669258273025852
FA medial lemniscus,-0.3913918283859782
FA superior corona radiata,0.07891057588951365
V Cerebellum,0.05576101245481692
Crus I Cerebellum,0.3252214376060593
VIIIa Cerebellum,0.03632585293313828
VIIIb Cerebellum,-0.0013871512252135315
I-IV Cerebellum,-0.003625359033071075
IX Cerebellum,-0.1188107788056538
Crus II Cerebellum,-0.09069868471764657
VIIb Cerebellum,-0.04710015014035738
VI Cerebellum,-0.00197908410833672
