,Pattern 31
"Middle Temporal Gyrus, anterior division",-0.06841226183262021
Superior Frontal Gyrus,0.1485989685951255
Frontal Pole,0.008034191144474734
Planum Temporale,-0.007429811790784169
"Inferior Temporal Gyrus, temporooccipital part",0.029041076182261982
Central Opercular Cortex,0.08965880443758924
Precuneous Cortex,-0.0568018760765173
Occipital Pole,-0.02724072698698652
Lingual Gyrus,-0.008050060404441171
"Inferior Frontal Gyrus, pars opercularis",0.06937247434219866
Putamen,0.09746513001255774
"Inferior Frontal Gyrus, pars triangularis",-0.04080500457373933
Middle Frontal Gyrus,-0.02044195755623816
Thalamus,-0.10681551903084842
Frontal Operculum Cortex,-0.016792779891776563
Precentral Gyrus,-0.2043700755063082
Parietal Operculum Cortex,-0.04380018144050701
Caudate,-0.1537889893439232
Pallidum,0.04211983655013133
Occipital Fusiform Gyrus,-0.018853101597318955
Superior Parietal Lobule,-0.18550441509733626
Angular Gyrus,0.03922789811655476
"Lateral Occipital Cortex, inferior division",-0.07346658866436143
"Inferior Temporal Gyrus, anterior division",0.2183671542412317
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.16011792494697602
Cuneal Cortex,0.10307566540045872
Temporal Pole,-0.13520864974859248
Subcallosal Cortex,0.019998608572992863
Planum Polare,0.008012478848354834
Paracingulate Gyrus,-0.045040830045383035
Insular Cortex,0.09281921512886714
Temporal Occipital Fusiform Cortex,0.023523266126047656
Hippocampus,-0.09272568461325363
"Middle Temporal Gyrus, temporooccipital part",-0.01757327802104221
"Temporal Fusiform Cortex, anterior division",0.24280758592795545
"Lateral Occipital Cortex, superior division",0.0708232899833506
Supracalcarine Cortex,0.06386591718420925
Heschl's Gyrus (includes H1 and H2),0.07443192431280435
"Supramarginal Gyrus, posterior division",0.06495717154065891
Postcentral Gyrus,-0.04766493483321826
Intracalcarine Cortex,0.03619854274448372
Frontal Orbital Cortex,0.06283078977863205
"Parahippocampal Gyrus, posterior division",0.030405381692090182
Amygdala,-0.036626351398677946
"Inferior Temporal Gyrus, posterior division",-0.08155305934203577
Frontal Medial Cortex,0.0781846549791441
"Cingulate Gyrus, posterior division",-0.06821797755417319
"Superior Temporal Gyrus, posterior division",0.010608735002468143
"Middle Temporal Gyrus, posterior division",-0.07763007151691673
Ventral Striatum,-0.00786781853764049
"Supramarginal Gyrus, anterior division",0.08177339726038864
"Cingulate Gyrus, anterior division",-0.06215527313211657
"Superior Temporal Gyrus, anterior division",-0.04105081120883167
"Parahippocampal Gyrus, anterior division",-0.00971239549373938
"Temporal Fusiform Cortex, posterior division",-0.08797993972435149
FA anterior corona radiata,-0.059433204319346226
FA cingulum hippocampus,-0.14663697256453598
FA fornix cres+stria terminalis,-0.10697608779411677
FA corticospinal tract,-0.04510012923866925
FA inferior cerebellar peduncle,-0.17923819271188549
FA posterior corona radiata,-0.03216122341491104
FA tapetum,0.12839353259710673
FA superior cerebellar peduncle,0.18332711626124512
FA uncinate fasciculus,-0.40559294034138893
FA cerebral peduncle,0.18328012734536372
FA posterior thalamic radiation,0.10424303462830306
FA anterior limb of internal capsule,0.1856430688838394
FA superior longitudinal fasciculus,0.04272167067947299
FA external capsule,-0.12832854879330474
FA retrolenticular part of internal capsule,-0.007705625548686244
FA sagittal stratum,0.11979177979444693
FA cingulum cingulate gyrus,-0.24132129989951084
FA superior fronto-occipital fasciculus,0.17834853147945673
FA posterior limb of internal capsule,0.10636240086536564
FA medial lemniscus,-0.06730267051463673
FA superior corona radiata,-0.1044230095546061
V Cerebellum,0.07713833320770162
Crus I Cerebellum,0.14547806106675004
VIIIa Cerebellum,-0.036047363872476736
VIIIb Cerebellum,0.06350395210152421
I-IV Cerebellum,0.07689554893032965
IX Cerebellum,0.061655673084628014
Crus II Cerebellum,0.0232772397536513
VIIb Cerebellum,-0.08162812004708543
VI Cerebellum,-0.05619593370366359
