,Pattern 20
"Middle Temporal Gyrus, anterior division",-0.21379379418340144
Superior Frontal Gyrus,-0.032114915632392334
Frontal Pole,-0.08502814526427674
Planum Temporale,0.026353284629239408
"Inferior Temporal Gyrus, temporooccipital part",0.07744196564616945
Central Opercular Cortex,0.21712311889342528
Precuneous Cortex,-0.14211950093377146
Occipital Pole,-0.026938892238716768
Lingual Gyrus,0.1815653508018328
"Inferior Frontal Gyrus, pars opercularis",0.14984033867422114
Putamen,0.03925098874591487
"Inferior Frontal Gyrus, pars triangularis",-0.011864020928512091
Middle Frontal Gyrus,0.15862291254848926
Thalamus,0.19989877016324076
Frontal Operculum Cortex,0.007194170421901736
Precentral Gyrus,-0.00930934062916021
Parietal Operculum Cortex,-0.09696439890000363
Caudate,0.09665146670861607
Pallidum,0.045877167968808384
Occipital Fusiform Gyrus,-0.06588330840774048
Superior Parietal Lobule,0.3509682052813595
Angular Gyrus,0.10080022386982528
"Lateral Occipital Cortex, inferior division",0.03931463019094603
"Inferior Temporal Gyrus, anterior division",0.10780305618462012
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-0.02059856539787561
Cuneal Cortex,-0.10190073976377324
Temporal Pole,-0.03338080359187148
Subcallosal Cortex,0.10047694086256488
Planum Polare,-0.13555646553087425
Paracingulate Gyrus,0.021601395023104986
Insular Cortex,0.053263428885863856
Temporal Occipital Fusiform Cortex,-0.026375681107029814
Hippocampus,-0.19412204100442595
"Middle Temporal Gyrus, temporooccipital part",0.16938578628158674
"Temporal Fusiform Cortex, anterior division",0.18221179481502744
"Lateral Occipital Cortex, superior division",-0.21953645632833155
Supracalcarine Cortex,-0.14874258863267092
Heschl's Gyrus (includes H1 and H2),0.1856687317191278
"Supramarginal Gyrus, posterior division",0.019335370275083023
Postcentral Gyrus,0.06633327949398184
Intracalcarine Cortex,0.04039081724349367
Frontal Orbital Cortex,-0.18578042473811224
"Parahippocampal Gyrus, posterior division",-0.1789417712397404
Amygdala,-0.06346260049231034
"Inferior Temporal Gyrus, posterior division",-0.05307081049065819
Frontal Medial Cortex,0.11117294350864906
"Cingulate Gyrus, posterior division",0.08153401656784147
"Superior Temporal Gyrus, posterior division",-0.025687065399574854
"Middle Temporal Gyrus, posterior division",-0.16787186198364554
Ventral Striatum,0.1366576497863767
"Supramarginal Gyrus, anterior division",-0.1413342433209422
"Cingulate Gyrus, anterior division",-0.032706199920080656
"Superior Temporal Gyrus, anterior division",-0.15638256459922234
"Parahippocampal Gyrus, anterior division",0.04920580158378891
"Temporal Fusiform Cortex, posterior division",-0.06590542962959625
FA anterior corona radiata,0.13601818578215985
FA cingulum hippocampus,0.023361147158477917
FA fornix cres+stria terminalis,-0.002153757030262965
FA corticospinal tract,-0.08738986574667527
FA inferior cerebellar peduncle,-0.09646358066782004
FA posterior corona radiata,0.0821289692085298
FA tapetum,-0.05049019636684558
FA superior cerebellar peduncle,-0.06380162020613471
FA uncinate fasciculus,0.07178870025757272
FA cerebral peduncle,-0.03974428396865072
FA posterior thalamic radiation,-0.0888567154485064
FA anterior limb of internal capsule,-0.03461900407384513
FA superior longitudinal fasciculus,-0.03918443439607916
FA external capsule,-0.010360286628731476
FA retrolenticular part of internal capsule,-0.05277694427244721
FA sagittal stratum,-0.07586350044803243
FA cingulum cingulate gyrus,-0.092340422740662
FA superior fronto-occipital fasciculus,0.11542650743473275
FA posterior limb of internal capsule,-0.0203548903262315
FA medial lemniscus,-0.12093878781016992
FA superior corona radiata,-0.038844509343861036
V Cerebellum,-0.023432032109713057
Crus I Cerebellum,0.006955248589630592
VIIIa Cerebellum,0.01530661492376801
VIIIb Cerebellum,-0.033856104670389145
I-IV Cerebellum,-0.0865650916642415
IX Cerebellum,-0.022197562107726776
Crus II Cerebellum,0.0173712956859762
VIIb Cerebellum,0.0676535456867386
VI Cerebellum,0.03567273787056648
