i,phesid,p_Asymmetry Pattern 66,-logp_Asymmetry Pattern 66,Category
0,1677,0.6886140547777104,0.1620241174865407,early life factors
1,1777,0.6131703387650951,0.21241886168166724,early life factors
2,1787,0.37443206003392626,0.4266269727017733,early life factors
3,1767,0.03286854785203167,1.4832194828298686,early life factors
4,1697,0.5315443564848239,0.27446048848253135,early life factors
5,1687,0.44647904599586696,0.35019891845944234,early life factors
6,20022,0.7630586097003197,0.11744210307805816,early life factors
7,130,0.33792581917087944,0.4711786247534823,early life factors
8,129,0.15316791339750233,0.8148322039847876,early life factors
9,10722#4,0.036027282778965615,1.4433684916548817,lifestyle - general
10,10722#5,0.30025253811870556,0.5225133126967825,lifestyle - general
11,10722#2,0.2592972798387194,0.5862020391783173,lifestyle - general
12,10722#100,0.4832094022882994,0.3158646238029047,lifestyle - general
13,10722#3,0.29281987394217845,0.5333994506651707,lifestyle - general
14,10721#1,0.7287320526627872,0.13743212797975196,lifestyle - general
15,10860#1,0.1388880399849759,0.8573351508942332,lifestyle - general
16,10721#6,0.21889593359244078,0.6597623062016782,lifestyle - general
17,10721#2,0.14648792396055474,0.834198175811315,lifestyle - general
18,10721#3,0.7908629876787492,0.10189874892849975,lifestyle - general
19,10721#100,0.11445630055344203,0.9413602954291231,lifestyle - general
20,10114,0.45384073097638583,0.34309652994847695,lifestyle - general
21,10105,0.8421041476938316,0.07463419356965147,lifestyle - general
22,6160#4,0.47359280060691994,0.3245949082286602,lifestyle - general
23,6160#3,0.5850712255751052,0.23279126042841028,lifestyle - general
24,6160#5,0.773411848100569,0.11158917914000946,lifestyle - general
25,10722#1,0.44891313781936576,0.34783768442021573,lifestyle - general
26,10860#100,0.7021316677620051,0.15358143883807923,lifestyle - general
27,20107#11,0.19187927028400498,0.7169719418229458,lifestyle - general
28,10860#3,0.10438430460589634,0.9813647976507017,lifestyle - general
29,20110#3,0.1710478871219128,0.7668822860913805,lifestyle - general
30,20110#9,0.2867381732976261,0.542514485815546,lifestyle - general
31,20110#12,0.5994609406546885,0.22223910916357265,lifestyle - general
32,20110#11,0.43611787849832645,0.36039610921280707,lifestyle - general
33,20110#1,0.5367764537472846,0.27020654319656756,lifestyle - general
34,20110#8,0.44411543665805525,0.3525041312647375,lifestyle - general
35,20110#100,0.822772398628774,0.08472028591785673,lifestyle - general
36,20107#101,0.1794442132670676,0.7460705422719641,lifestyle - general
37,20107#12,0.08908765609143353,1.0501824672623241,lifestyle - general
38,10860#2,0.048058091681487794,1.3182334784063183,lifestyle - general
39,20107#9,0.5419015685539459,0.266079591904499,lifestyle - general
40,20107#3,0.7511877044379275,0.12425152928622382,lifestyle - general
41,20107#4,0.2506097751932917,0.6010019930796602,lifestyle - general
42,20107#6,0.6972774006671069,0.15659441040761687,lifestyle - general
43,20107#13,0.6762186772264005,0.1699128381482698,lifestyle - general
44,20107#8,0.4508319411508087,0.3459853220533403,lifestyle - general
45,20107#1,0.9243617062264912,0.03415805445104718,lifestyle - general
46,20107#2,0.23561355870349207,0.6277997210976902,lifestyle - general
47,20107#100,0.24843244694334862,0.6047916830196651,lifestyle - general
48,6160#2,0.5270545617999427,0.2781444233793484,lifestyle - general
49,20107#10,0.009327663682283657,2.0302271212001473,lifestyle - general
50,6160#1,0.9913951484368321,0.0037532107206277466,lifestyle - general
51,6146#3,0.21368832769065796,0.6702191996795615,lifestyle - general
52,6146#1,0.07109275110374526,1.1481746793846785,lifestyle - general
53,6139#3,0.2674549939976783,0.5727492884199817,lifestyle - general
54,6139#2,0.5618531192115823,0.2503772037426357,lifestyle - general
55,6139#1,0.1353665340912829,0.8684886905690921,lifestyle - general
56,6139#100,0.21633989492349395,0.6648633855655935,lifestyle - general
57,6142#7,0.7486503668591922,0.1257209582619488,lifestyle - general
58,6142#100,0.9698801444274531,0.013281931537797989,lifestyle - general
59,6142#4,0.655254499902595,0.1835899878919981,lifestyle - general
60,6142#6,0.937534922964151,0.028012545927562915,lifestyle - general
61,6142#5,0.020925670254560665,1.6793206225487856,lifestyle - general
62,6140#1,0.062007457352825,1.2075560767529936,lifestyle - general
63,6142#3,0.5878291134206358,0.23074890842192697,lifestyle - general
64,6142#1,9.055691494752512e-08,7.043078381253951,lifestyle - general
65,6138#2,0.7903384577351857,0.10218688485083824,lifestyle - general
66,6138#4,0.3334607964610043,0.47695521686421527,lifestyle - general
67,6138#1,0.6031606813807912,0.2195669768463623,lifestyle - general
68,6138#3,0.941092524690406,0.02636767626764291,lifestyle - general
69,4501,0.45441478816409187,0.3425475436844538,lifestyle - general
70,2159,0.46494197109513463,0.3326012475526327,lifestyle - general
71,1835,2.515000519260723e-06,5.599461920941238,lifestyle - general
72,1797,0.0002519811573238554,3.5986319337273094,lifestyle - general
73,6142#2,1.881776687829623e-07,6.725431915976591,lifestyle - general
74,6160#100,0.12730629596303564,0.8951501176787032,lifestyle - general
75,6140#3,0.1451339054526469,0.8382311180180012,lifestyle - general
76,6140#100,0.6675859549537095,0.17549280882662235,lifestyle - general
77,20110#5,0.5605031221526946,0.25142196392554605,lifestyle - general
78,6146#2,0.8260291699639558,0.08300461595964338,lifestyle - general
79,6146#100,0.38086479183016375,0.41922917283817024,lifestyle - general
80,6145#4,0.2599715137135048,0.5850742370861357,lifestyle - general
81,6145#2,0.6412399476957551,0.19297942998068499,lifestyle - general
82,6145#6,0.8690958023120154,0.06093234769150041,lifestyle - general
83,6145#3,0.8666650923938622,0.06214869563185939,lifestyle - general
84,6145#5,0.1002433121412791,0.9989445922441867,lifestyle - general
85,6145#100,0.25072265553089235,0.6008064210178529,lifestyle - general
86,6140#5,0.35124967945103713,0.45438406342197907,lifestyle - general
87,6145#1,0.8943151003831574,0.04850943618529594,lifestyle - general
88,6141#7,0.15409708688889984,0.8122055712753141,lifestyle - general
89,6141#3,0.5321121147069257,0.2739968532901355,lifestyle - general
